listing_id,source,district,ubigeo,address,urbanization,price_soles,area_m2,price_per_m2,rooms,bathrooms,parking,maintenance_fee,photos_count,district_median_price_m2,baseline_price_soles,opportunity_score_baseline,bcrp_price_m2_usd,bcrp_price_rent_ratio,proyectos_nuevos_distrito,unidades_nuevas_distrito,crime_index_zone,crime_trend_zone,urban_convenience_index,zone_composite_index,idh_2019,pct_pobreza_total
143492305,Urbania,BARRANCO,150104,"Av, el Sol",Tejada Alta,665000.0,64.0,10390.625,2,2,0,270.0,1,9299.0,595136.0,-0.117,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
149144405,Urbania,BARRANCO,150104,Jr. Carlos Arrieta - Departamento en Venta - A 5 Minutos de la Bajada Armendariz,Barranco,669500.0,72.0,9298.611111111111,2,2,1,0.0,1,9299.0,669528.0,0.0,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
149842767,Urbania,BARRANCO,150104,Jr. Carlos Arrieta,Barranco,669500.0,73.0,9171.232876712329,3,2,0,0.0,10,9299.0,678827.0,0.014,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
149150024,Urbania,BARRANCO,150104,"Jirón Carlos Arrieta N° 3xx, Dpto. 202 AL 602",Barranco,669500.0,72.0,9298.611111111111,1,2,1,0.0,1,9299.0,669528.0,0.0,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
149273888,Urbania,BARRANCO,150104,Jirón Juan Fanning 212,Barranco,670000.0,126.0,5317.460317460317,3,2,1,300.0,1,9299.0,1171674.0,0.428,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
149481641,Urbania,BARRANCO,150104,Barranco al 400,Barranco,672600.0,72.0,9341.666666666666,3,2,0,0.0,1,9299.0,669528.0,-0.005,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
149869039,Urbania,BARRANCO,150104,Calle Tacna 500,Barranco,674900.0,73.0,9245.205479452055,1,2,1,520.0,1,9299.0,678827.0,0.006,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
149830320,Urbania,BARRANCO,150104,Avenida El sol Este al 500,Barranco,675129.0,83.0,8134.084337349397,3,2,0,0.0,1,9299.0,771817.0,0.125,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
145979419,Urbania,BARRANCO,150104,Fedelli al 100,Barranco,675250.0,72.0,9378.472222222223,2,2,0,400.0,1,9299.0,669528.0,-0.009,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
145081481,Urbania,BARRANCO,150104,Límite Barranco y Miraflores,Barranco,675500.0,77.0,8772.727272727272,2,2,1,0.0,1,9299.0,716023.0,0.057,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
