ANIO,MES,DPTO_HECHO_NEW,PROV_HECHO,DIST_HECHO,UBIGEO_HECHO,P_MODALIDADES,cantidad
2024,7,LIMA METROPOLITANA,LIMA,CARABAYLLO,150106,Estafa,34
2024,7,LIMA METROPOLITANA,LIMA,CHACLACAYO,150107,Hurto,45
2024,7,LIMA METROPOLITANA,LIMA,CHORRILLOS,150108,Hurto,174
2024,7,LIMA METROPOLITANA,LIMA,CHORRILLOS,150108,Otros,333
2024,7,LIMA METROPOLITANA,LIMA,CIENEGUILLA,150109,Robo,8
2024,7,LIMA METROPOLITANA,LIMA,COMAS,150110,Extorsión,31
2024,7,LIMA METROPOLITANA,LIMA,COMAS,150110,Otros,432
2024,7,LIMA METROPOLITANA,LIMA,COMAS,150110,Secuestro,6
2024,7,LIMA METROPOLITANA,LIMA,EL AGUSTINO,150111,Violencia contra la mujer e integrantes,131
2024,7,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,150112,Secuestro,3
2024,7,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,150112,Violencia contra la mujer e integrantes,198
2024,7,LIMA METROPOLITANA,LIMA,JESUS MARIA,150113,Secuestro,1
2024,7,LIMA METROPOLITANA,LIMA,LOS OLIVOS,150117,Otros,304
2024,7,LIMA METROPOLITANA,LIMA,LURIN,150119,Violencia contra la mujer e integrantes,55
2024,7,PROV. CONST. DEL CALLAO,CALLAO,MI PERU,70107,Estafa,1
2024,7,LIMA METROPOLITANA,LIMA,MIRAFLORES,150122,Extorsión,2
2024,7,LIMA METROPOLITANA,LIMA,MIRAFLORES,150122,Secuestro,2
2024,7,LIMA METROPOLITANA,LIMA,PACHACAMAC,150123,Extorsión,5
2024,7,LIMA METROPOLITANA,LIMA,PACHACAMAC,150123,Violencia contra la mujer e integrantes,86
2024,7,LIMA METROPOLITANA,LIMA,PUEBLO LIBRE,150121,Estafa,17
2024,7,LIMA METROPOLITANA,LIMA,PUENTE PIEDRA,150125,Hurto,192
2024,7,LIMA METROPOLITANA,LIMA,PUNTA NEGRA,150127,Hurto,6
2024,7,LIMA METROPOLITANA,LIMA,SAN BARTOLO,150129,Estafa,4
2024,7,LIMA METROPOLITANA,LIMA,SAN ISIDRO,150131,Extorsión,3
2024,7,LIMA METROPOLITANA,LIMA,SAN JUAN DE LURIGANCHO,150132,Estafa,133
2024,7,LIMA METROPOLITANA,LIMA,SAN JUAN DE LURIGANCHO,150132,Robo,420
2024,7,LIMA METROPOLITANA,LIMA,SAN JUAN DE MIRAFLORES,150133,Estafa,46
2024,7,LIMA METROPOLITANA,LIMA,SAN LUIS,150134,Hurto,55
2024,7,LIMA METROPOLITANA,LIMA,SAN LUIS,150134,Robo,31
2024,7,LIMA METROPOLITANA,LIMA,SAN MARTIN DE PORRES,150135,Robo,423
2024,7,LIMA METROPOLITANA,LIMA,SAN MARTIN DE PORRES,150135,Secuestro,2
2024,7,LIMA METROPOLITANA,LIMA,SANTA MARIA DEL MAR,150138,Otros,3
2024,7,LIMA METROPOLITANA,LIMA,VILLA MARIA DEL TRIUNFO,150143,Hurto,235
2024,8,LIMA METROPOLITANA,LIMA,ANCON,150102,Robo,23
2024,8,PROV. CONST. DEL CALLAO,CALLAO,CALLAO,70101,Secuestro,2
2024,8,LIMA METROPOLITANA,LIMA,CARABAYLLO,150106,Otros,253
2024,8,PROV. CONST. DEL CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,70103,Robo,8
2024,8,LIMA METROPOLITANA,LIMA,EL AGUSTINO,150111,Extorsión,4
2024,8,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,150112,Extorsión,12
2024,8,LIMA METROPOLITANA,LIMA,LA MOLINA,150114,Extorsión,4
2024,8,PROV. CONST. DEL CALLAO,CALLAO,LA PUNTA,70105,Otros,5
2024,8,LIMA METROPOLITANA,LIMA,LA VICTORIA,150115,Estafa,31
2024,8,LIMA METROPOLITANA,LIMA,LIMA,150101,Hurto,882
2024,8,LIMA METROPOLITANA,LIMA,LIMA,150101,Secuestro,4
2024,8,LIMA METROPOLITANA,LIMA,LINCE,150116,Violencia contra la mujer e integrantes,24
2024,8,LIMA METROPOLITANA,LIMA,LOS OLIVOS,150117,Robo,277
2024,8,LIMA METROPOLITANA,LIMA,LURIGANCHO - CHOSICA,150118,Estafa,25
2024,8,LIMA METROPOLITANA,LIMA,LURIGANCHO - CHOSICA,150118,Violencia contra la mujer e integrantes,103
2024,8,LIMA METROPOLITANA,LIMA,MAGDALENA DEL MAR,150120,Extorsión,4
2024,8,LIMA METROPOLITANA,LIMA,MAGDALENA DEL MAR,150120,Otros,34
2024,8,LIMA METROPOLITANA,LIMA,MIRAFLORES,150122,Secuestro,1
2024,8,LIMA METROPOLITANA,LIMA,PUEBLO LIBRE,150121,Extorsión,2
2024,8,LIMA METROPOLITANA,LIMA,RIMAC,150128,Hurto,155
2024,8,LIMA METROPOLITANA,LIMA,SAN BARTOLO,150129,Hurto,4
2024,8,LIMA METROPOLITANA,LIMA,SAN BORJA,150130,Secuestro,1
2024,8,LIMA METROPOLITANA,LIMA,SAN JUAN DE MIRAFLORES,150133,Hurto,246
2024,8,LIMA METROPOLITANA,LIMA,SAN MARTIN DE PORRES,150135,Extorsión,39
2024,8,LIMA METROPOLITANA,LIMA,SANTA ROSA,150139,Otros,20
2024,8,LIMA METROPOLITANA,LIMA,VILLA MARIA DEL TRIUNFO,150143,Extorsión,16
2024,8,LIMA METROPOLITANA,LIMA,VILLA MARIA DEL TRIUNFO,150143,Hurto,190
2024,9,LIMA METROPOLITANA,LIMA,ANCON,150102,Estafa,4
2024,9,LIMA METROPOLITANA,LIMA,BARRANCO,150104,Violencia contra la mujer e integrantes,28
2024,9,LIMA METROPOLITANA,LIMA,CARABAYLLO,150106,Otros,274
2024,9,PROV. CONST. DEL CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,70103,Hurto,10
2024,9,LIMA METROPOLITANA,LIMA,CHACLACAYO,150107,Extorsión,3
2024,9,LIMA METROPOLITANA,LIMA,CHACLACAYO,150107,Hurto,40
2024,9,LIMA METROPOLITANA,LIMA,LA VICTORIA,150115,Secuestro,2
2024,9,LIMA METROPOLITANA,LIMA,LIMA,150101,Violencia contra la mujer e integrantes,451
2024,9,LIMA METROPOLITANA,LIMA,LINCE,150116,Estafa,14
2024,9,LIMA METROPOLITANA,LIMA,PUCUSANA,150124,Extorsión,1
2024,9,LIMA METROPOLITANA,LIMA,PUCUSANA,150124,Otros,22
2024,9,LIMA METROPOLITANA,LIMA,PUCUSANA,150124,Violencia contra la mujer e integrantes,11
2024,9,LIMA METROPOLITANA,LIMA,PUEBLO LIBRE,150121,Robo,9
2024,9,LIMA METROPOLITANA,LIMA,SAN ISIDRO,150131,Otros,115
2024,9,LIMA METROPOLITANA,LIMA,SAN LUIS,150134,Secuestro,1
2024,9,LIMA METROPOLITANA,LIMA,SAN MIGUEL,150136,Estafa,31
2024,9,LIMA METROPOLITANA,LIMA,SANTA ANITA,150137,Violencia contra la mujer e integrantes,115
2024,9,LIMA METROPOLITANA,LIMA,SURQUILLO,150141,Otros,118
2024,9,PROV. CONST. DEL CALLAO,CALLAO,VENTANILLA,70106,Secuestro,1
2024,9,PROV. CONST. DEL CALLAO,CALLAO,VENTANILLA,70106,Violencia contra la mujer e integrantes,144
2024,9,LIMA METROPOLITANA,LIMA,VILLA EL SALVADOR,150142,Estafa,43
2024,9,LIMA METROPOLITANA,LIMA,VILLA MARIA DEL TRIUNFO,150143,Estafa,45
2024,10,LIMA METROPOLITANA,LIMA,ATE,150103,Extorsión,33
2024,10,PROV. CONST. DEL CALLAO,CALLAO,BELLAVISTA,70102,Otros,30
2024,10,PROV. CONST. DEL CALLAO,CALLAO,CALLAO,70101,Estafa,61
2024,10,LIMA METROPOLITANA,LIMA,CHACLACAYO,150107,Otros,82
2024,10,LIMA METROPOLITANA,LIMA,CHORRILLOS,150108,Extorsión,30
2024,10,LIMA METROPOLITANA,LIMA,COMAS,150110,Secuestro,6
2024,10,LIMA METROPOLITANA,LIMA,EL AGUSTINO,150111,Secuestro,1
2024,10,LIMA METROPOLITANA,LIMA,LA MOLINA,150114,Violencia contra la mujer e integrantes,69
2024,10,PROV. CONST. DEL CALLAO,CALLAO,LA PERLA,70104,Violencia contra la mujer e integrantes,29
2024,10,LIMA METROPOLITANA,LIMA,MAGDALENA DEL MAR,150120,Robo,17
2024,10,LIMA METROPOLITANA,LIMA,PACHACAMAC,150123,Otros,89
2024,10,LIMA METROPOLITANA,LIMA,PUCUSANA,150124,Estafa,1
2024,10,LIMA METROPOLITANA,LIMA,PUCUSANA,150124,Secuestro,1
2024,10,LIMA METROPOLITANA,LIMA,PUEBLO LIBRE,150121,Violencia contra la mujer e integrantes,38
2024,10,LIMA METROPOLITANA,LIMA,PUENTE PIEDRA,150125,Secuestro,1
2024,10,LIMA METROPOLITANA,LIMA,SAN JUAN DE LURIGANCHO,150132,Otros,1180
2024,10,LIMA METROPOLITANA,LIMA,SAN MARTIN DE PORRES,150135,Violencia contra la mujer e integrantes,345
2024,10,LIMA METROPOLITANA,LIMA,SAN MIGUEL,150136,Violencia contra la mujer e integrantes,109
2024,10,LIMA METROPOLITANA,LIMA,SANTA ANITA,150137,Hurto,191
2024,10,LIMA METROPOLITANA,LIMA,SANTIAGO DE SURCO,150140,Hurto,441
2024,10,LIMA METROPOLITANA,LIMA,SANTIAGO DE SURCO,150140,Violencia contra la mujer e integrantes,202
2024,10,LIMA METROPOLITANA,LIMA,SURQUILLO,150141,Estafa,21
2024,11,PROV. CONST. DEL CALLAO,CALLAO,BELLAVISTA,70102,Estafa,12
