listing_id,district,price_pen,maintenance_fee,area_total,bedrooms,bathrooms,parking_spaces,address,urbanization,photos_count,distrito,price_per_m2
148479863,san-borja,1259250.0,0.0,200.0,3,3,2,calle melissa,Chacarilla,1,SAN BORJA,6296.25
149314984,san-borja,1260000.0,50.0,223.0,3,2,2,Calle TIÉPOLO 121 - 1º PISO,San Borja,1,SAN BORJA,5650.224215246637
149520354,san-borja,1356000.0,600.0,270.0,5,6,2,AV. DEL Parque SUR al 600,San Borja Sur,1,SAN BORJA,5022.222222222223
144545375,san-borja,1444000.0,800.0,180.0,3,4,2,avenida boulevard,San Borja,10,SAN BORJA,8022.222222222223
148242535,san-borja,1600000.0,550.0,182.0,3,3,2,HERMANO LOBO 200,Chacarilla Del Estanque,1,SAN BORJA,8791.208791208792
149245992,san-borja,1739500.0,0.0,254.0,3,3,2,Vendo Departamento Primer Piso/ Estreno/ Chacarilla SAN Borja,Chacarilla Del Estanque,1,SAN BORJA,6848.425196850394
149826887,san-borja,1893240.0,0.0,224.0,3,3,2,"Av, Del Pinar 324 Dpto, 202 Chacarilla",San Borja,1,SAN BORJA,8451.964285714286
149168406,san-borja,2559160.0,0.0,253.0,3,5,2,Jr Galeon 195 San borja,Chacarilla Del Estanque,1,SAN BORJA,10115.256916996048
144620217,san-borja,2656800.0,1100.0,340.0,5,6,4,Velasco Astete 700,San Borja,1,SAN BORJA,7814.117647058823
149584772,san-isidro,360000.0,200.0,52.0,1,1,0,Av. Dos de Mayo,Country Club,1,SAN ISIDRO,6923.076923076923
142918302,san-isidro,366047.0,0.0,40.0,1,1,1,Las Palmeras,San Isidro,1,SAN ISIDRO,9151.175
149904402,san-isidro,647000.0,350.0,65.0,2,2,1,"AV. Salaverry, Orrantia DEL MAR SAN Isidro",San Isidro,1,SAN ISIDRO,9953.846153846154
149887993,san-isidro,680000.0,350.0,104.0,3,2,1,Av. Alberto del Campo al 488,San Isidro,1,SAN ISIDRO,6538.461538461538
147753121,san-isidro,700000.0,250.0,120.0,3,2,0,Manuel Gonzales la Rosa y Roque de Bergallo,San Isidro,1,SAN ISIDRO,5833.333333333333
146199180,san-isidro,737000.0,300.0,65.0,2,2,1,"Avenida Rivera Navarrete 5, Piso 5, San Isidro",San Isidro,10,SAN ISIDRO,11338.461538461539
148972112,san-isidro,971500.0,690.0,152.0,3,2,2,Av. Dos de Mayo,San Isidro,1,SAN ISIDRO,6391.4473684210525
149561732,san-isidro,1050000.0,400.0,152.0,3,2,2,Av José Gálvez Barrenechea,San Isidro,1,SAN ISIDRO,6907.894736842105
149666049,san-isidro,1134250.0,800.0,120.0,2,2,0,Urb. Orrantia al 100,Orrantia,1,SAN ISIDRO,9452.083333333334
149316093,san-isidro,1166000.0,570.0,160.0,3,2,2,Av. del Parque Nte.,San Isidro,1,SAN ISIDRO,7287.5
148840828,san-isidro,1169150.0,0.0,528.0,4,4,2,"Calle Los Ficus N 3, San Isidro",San Isidro,1,SAN ISIDRO,2214.2992424242425
148825162,san-isidro,1331150.0,450.0,167.0,3,3,2,Dirección no informada,San Isidro,1,SAN ISIDRO,7970.958083832335
149693558,san-isidro,1342050.0,1200.0,137.0,3,2,2,Blas Cerdeña 4,Santa Teresita,1,SAN ISIDRO,9795.985401459853
147794697,san-isidro,1445000.0,1450.0,242.0,3,3,2,"Octavio Espinosa Cdra 1 Pisos 3, 4 y 5",San Isidro,1,SAN ISIDRO,5971.074380165289
146262471,san-isidro,1461500.0,550.0,173.0,2,2,2,Salaverry Cdra 33 Piso 2,San Isidro,1,SAN ISIDRO,8447.976878612717
149415351,san-isidro,1475760.0,0.0,324.0,3,3,2,Los Pinos 322,San Isidro,1,SAN ISIDRO,4554.814814814815
146683940,san-isidro,1587750.0,1400.0,184.0,2,2,2,los nogales,San Isidro,1,SAN ISIDRO,8629.076086956522
149461762,san-isidro,1674890.0,1000.0,286.0,2,2,3,"Av. Jorge Basadre  al 1000- Departamento en 1er Piso con  2 Terraza, a Pasos del Golf",San Isidro,1,SAN ISIDRO,5856.258741258741
148571591,san-isidro,1713000.0,0.0,206.0,3,2,2,Avenida Dos de Mayo al 1400,Country Club,1,SAN ISIDRO,8315.533980582524
148528566,san-isidro,1714650.0,0.0,185.0,3,3,2,Calle Teniente Alberto Chabrier,Golf,1,SAN ISIDRO,9268.378378378378
149159229,san-isidro,1950000.0,0.0,250.0,3,5,0,Parque Norte 685 Corpac San Isidro al 600,San Isidro,1,SAN ISIDRO,7800.0
149746162,san-isidro,2652000.0,1166.0,260.0,2,4,2,Av. Aurelio Miró Quesada,San Isidro,1,SAN ISIDRO,10200.0
149518186,san-isidro,3194100.0,900.0,258.0,3,4,2,"Pezet CON Vista Directa AL Golf. Impecable. 3 Dormitorios, 2 Cocheras Edificio A1",San Isidro,1,SAN ISIDRO,12380.232558139534
149864734,san-isidro,4036500.0,1450.0,500.0,5,5,3,muy cerca al Golf,Golf,1,SAN ISIDRO,8073.0
142706000,san-isidro,4300800.0,0.0,378.0,4,3,6,Angamos Oeste,San Isidro,1,SAN ISIDRO,11377.777777777777
149590034,san-juan-de-lurigancho,201341.0,0.0,78.0,2,1,0,Av. Malecón Checa,Zarate,1,SAN JUAN DE LURIGANCHO,2581.2948717948716
149789388,san-juan-de-lurigancho,210000.0,0.0,68.0,2,2,0,Centro de Salud Mangomarca,San Juan de Lurigancho,1,SAN JUAN DE LURIGANCHO,3088.235294117647
148064958,san-juan-de-lurigancho,236240.0,0.0,120.0,1,1,0,Las Flores,San Juan de Lurigancho,1,SAN JUAN DE LURIGANCHO,1968.6666666666667
149341048,san-juan-de-lurigancho,271800.0,0.0,86.0,3,2,0,Jirón el Rosario 470,Canto Grande,1,SAN JUAN DE LURIGANCHO,3160.4651162790697
147694490,san-juan-de-lurigancho,355000.0,0.0,138.0,4,1,0,Jirón Las Calendulas 538,Las Flores,10,SAN JUAN DE LURIGANCHO,2572.463768115942
149371779,san-juan-de-lurigancho,362730.0,0.0,128.0,3,1,0,Luis     9.9.9.6.1.7.7.8.8,Zarate,1,SAN JUAN DE LURIGANCHO,2833.828125
149443899,san-juan-de-lurigancho,407000.0,0.0,127.0,2,2,0,Akapana 1169,Mangomarca,1,SAN JUAN DE LURIGANCHO,3204.7244094488187
147476596,san-juan-de-lurigancho,424800.0,0.0,125.0,3,2,0,Puruchuco 632,Mangomarca,1,SAN JUAN DE LURIGANCHO,3398.4
149534331,san-juan-de-lurigancho,425080.0,0.0,105.0,3,2,0,Papiros 367 Urb,San Silvestre,10,SAN JUAN DE LURIGANCHO,4048.3809523809523
149086701,san-martin-de-porres,142147.0,0.0,41.0,2,1,0,Quiñones 503,Zarumilla,1,SAN MARTIN DE PORRES,3467.0
147787672,san-martin-de-porres,161100.0,0.0,50.0,2,1,0,"Mateo Aguilar 264, San Martín de Porres",San Martín de Porres,10,SAN MARTIN DE PORRES,3222.0
147503674,san-martin-de-porres,166500.0,0.0,66.0,2,2,0,AV Lima 4121,San Martín de Porres,1,SAN MARTIN DE PORRES,2522.7272727272725
147787676,san-martin-de-porres,178500.0,0.0,73.0,3,1,0,"Jr. Moquegua Cuadra 37, San Martín de Porres",San Martín de Porres,1,SAN MARTIN DE PORRES,2445.205479452055
147650531,san-martin-de-porres,192600.0,50.0,56.0,2,1,0,"Venta Departamento Cerca del Mercado Caquetá, 2 Dormitorios, 4 Piso sin Ascensor, no Condominio",San Martín de Porres,1,SAN MARTIN DE PORRES,3439.285714285714
149052936,san-martin-de-porres,210000.0,0.0,81.0,3,2,0,Jiron Pedro Paulet,Ingenieria,1,SAN MARTIN DE PORRES,2592.5925925925926
4675547,san-martin-de-porres,213000.0,0.0,101.0,4,2,0,Parque Cabo linares,Vipol De Naranjal,10,SAN MARTIN DE PORRES,2108.910891089109
147449997,san-martin-de-porres,250000.0,0.0,82.0,3,2,0,"AV. 12 DE Octubre, SMP",San Martín de Porres,1,SAN MARTIN DE PORRES,3048.7804878048782
149803432,san-martin-de-porres,251850.0,0.0,66.0,2,1,0,Ampliación Los Portales de Chavín – 4ta Etapa - Mz D - Lote 13,Ampliacion Los Portales De Chavin Et.4,1,SAN MARTIN DE PORRES,3815.909090909091
147185884,san-martin-de-porres,272000.0,0.0,117.0,3,2,0,Urb. Huerto Azul Mz. C Lote 10 Ref. Calle Los Jazmines con el Sol de Naranjal 10,San Martín de Porres,1,SAN MARTIN DE PORRES,2324.7863247863247
148906747,san-martin-de-porres,293000.0,0.0,123.0,4,2,0,Pasaje Huari,San Martín de Porres,10,SAN MARTIN DE PORRES,2382.1138211382113
148819439,san-martin-de-porres,295000.0,0.0,94.0,3,2,0,"Av. Carlos Izaguirre 808, San Martín de Porres 15109",San Martín de Porres,1,SAN MARTIN DE PORRES,3138.2978723404253
148440747,san-martin-de-porres,309120.0,0.0,105.0,3,2,1,Jiron Elias Aguirre,San Martín de Porres,1,SAN MARTIN DE PORRES,2944.0
148318324,san-martin-de-porres,484300.0,0.0,200.0,3,2,1,Santa Carmela 218,Palao,1,SAN MARTIN DE PORRES,2421.5
147022579,san-martin-de-porres,493000.0,0.0,179.0,4,2,0,AV. ALFREDO MENDIOLA 1576,Fiori,1,SAN MARTIN DE PORRES,2754.1899441340784
149724431,san-miguel,240000.0,100.0,40.0,1,1,0,Pacamarca,Maranga,1,SAN MIGUEL,6000.0
147860018,san-miguel,246587.0,0.0,33.0,1,1,0,Av. Andrés Rázuri 206,San Miguel,1,SAN MIGUEL,7472.333333333333
148190753,san-miguel,266000.0,140.0,67.0,2,2,0,Coronel Inclan 177,Miramar,1,SAN MIGUEL,3970.1492537313434
149866302,san-miguel,275760.0,0.0,36.0,3,2,0,Jirón Arica,San Miguel,1,SAN MIGUEL,7660.0
148319485,san-miguel,304200.0,80.0,70.0,3,2,0,JR. Nicolas DE Pierola SAN Miguel,San Miguel,1,SAN MIGUEL,4345.714285714285
145340778,san-miguel,308000.0,0.0,83.0,3,1,0,"Av. Precursores, San Miguel",San Miguel,1,SAN MIGUEL,3710.843373493976
144211777,san-miguel,320870.0,0.0,57.0,2,2,1,"Av LA PAZ N° 8xx, Dpto. 304 AL 704 A",San Miguel,1,SAN MIGUEL,5629.298245614035
149716348,san-miguel,332500.0,80.0,87.0,3,2,1,Conjunto Habitacional Julio C. Tello,San Miguel,1,SAN MIGUEL,3821.8390804597702
149100547,san-miguel,340000.0,280.0,78.0,3,2,0,Avenida Costanera,San Miguel,1,SAN MIGUEL,4358.974358974359
148883803,san-miguel,351415.0,0.0,61.0,3,2,1,Av. La Paz 2127,San Miguel,1,SAN MIGUEL,5760.901639344263
147440411,san-miguel,358000.0,180.0,58.0,2,2,0,av la paz 1150,San Miguel,1,SAN MIGUEL,6172.413793103448
148837861,san-miguel,362000.0,300.0,58.0,2,2,0,Calle Mercedes Gallagher al 300,San Miguel,1,SAN MIGUEL,6241.379310344828
143259421,san-miguel,370000.0,0.0,54.0,2,2,0,"Jr. Mariscal Ramón Castilla 740, San Miguel",San Miguel,1,SAN MIGUEL,6851.851851851852
147791669,san-miguel,380000.0,100.0,72.0,3,2,0,AV Andres Razuri 357 SAN Miguel,Maranga,1,SAN MIGUEL,5277.777777777777
149085828,san-miguel,384300.0,190.0,61.0,3,2,1,Av. Costanera - Departamento en Venta Planos - Ideal Para Inversionistas!!,San Miguel,1,SAN MIGUEL,6300.0
146876075,san-miguel,402000.0,240.0,74.0,2,2,0,JIRÓN SIMON BOLIVAR SAN MIGUEL,San Miguel,1,SAN MIGUEL,5432.4324324324325
142959133,san-miguel,412500.0,0.0,78.0,3,2,1,JIRON HERMANOS CATARI 254 SAN MIGUEL,Maranga Etapa Ii,1,SAN MIGUEL,5288.461538461538
149862592,san-miguel,415350.0,0.0,73.0,3,2,1,Jiron Hernando de Magallanes,San Miguel,1,SAN MIGUEL,5689.726027397261
149003800,san-miguel,418250.0,0.0,95.0,3,2,0,Calle Diego Quispe Tito  al 100,San Miguel,1,SAN MIGUEL,4402.631578947368
148786247,san-miguel,434200.0,0.0,84.0,3,2,0,Av. Bertolotto 250,San Miguel,1,SAN MIGUEL,5169.047619047619
149791328,san-miguel,444000.0,0.0,67.0,3,2,1,De los Precursores al 800,San Miguel,1,SAN MIGUEL,6626.865671641791
149830707,san-miguel,445000.0,200.0,63.0,2,2,0,"AV Arica 275, SAN Miguel / Dpto 405",San Miguel,1,SAN MIGUEL,7063.492063492064
147488200,san-miguel,531129.0,0.0,82.0,3,2,0,"Mario Valdivia 140, Lima  al 15000",San Miguel,1,SAN MIGUEL,6477.182926829269
149310439,san-miguel,541058.0,0.0,71.0,3,2,1,Av. Bertolloto,San Miguel,1,SAN MIGUEL,7620.5352112676055
149802534,san-miguel,550000.0,0.0,128.0,2,3,0,Av. Bertolotto 980,Miramar,1,SAN MIGUEL,4296.875
149346202,san-miguel,551000.0,280.0,114.0,3,2,0,Calle Pedrerias 135,San Miguel,1,SAN MIGUEL,4833.333333333333
148002269,san-miguel,561000.0,0.0,102.0,3,2,0,Jr. Mariscal Ramón Castilla  al 600,Pablo Vi,1,SAN MIGUEL,5500.0
149298549,san-miguel,572000.0,400.0,100.0,3,2,0,Avenida Bertolotto 270,San Miguel,1,SAN MIGUEL,5720.0
149511557,san-miguel,655000.0,0.0,103.0,3,2,0,Av. Tacna,San Miguel,1,SAN MIGUEL,6359.223300970873
4675402,san-miguel,724500.0,300.0,113.0,3,3,1,av costanera 300,Miramar,1,SAN MIGUEL,6411.504424778761
149582374,san-miguel,800000.0,350.0,111.0,3,2,0,Jr. Mariscal Ramón Castilla 740,San Miguel,1,SAN MIGUEL,7207.207207207207
148932745,san-miguel,1032500.0,0.0,189.0,4,3,0,Umachiri 296,San Miguel,1,SAN MIGUEL,5462.962962962963
149042276,santiago-de-surco,359200.0,0.0,123.0,3,2,0,Se Vende Departamento en Jr. Maximiliano Velarde - Surco - Lima_bc-1006-1 / 01295,Santiago de Surco,1,SANTIAGO DE SURCO,2920.3252032520327
149404894,santiago-de-surco,456300.0,0.0,84.0,4,2,1,"Departamento Semi Amoblado en Venta, Surco Límite con Chorrillos",Santiago de Surco,1,SANTIAGO DE SURCO,5432.142857142857
147980872,santiago-de-surco,595000.0,0.0,107.0,4,2,1,"Avenida Monterrico Sur 1, Piso 4, Surco",Prolong. Benavides,1,SANTIAGO DE SURCO,5560.747663551402
149106112,santiago-de-surco,678000.0,358.0,135.0,3,2,2,Calle Amancaes 297  psio 2 Casuarinas Sur Surco,Santiago de Surco,1,SANTIAGO DE SURCO,5022.222222222223
149791096,santiago-de-surco,742500.0,600.0,133.0,2,3,1,Monte Claro al 100,Chacarilla Del Estanque,1,SANTIAGO DE SURCO,5582.706766917293
149435023,santiago-de-surco,774500.0,0.0,133.0,2,3,1,"Monte Claro 129 con 133m2, 2 Dormitorios y 01 Cochera!",Chacarilla Del Estanque,1,SANTIAGO DE SURCO,5823.308270676692
149182441,santiago-de-surco,798000.0,0.0,90.0,3,2,1,Surco,Santiago de Surco,1,SANTIAGO DE SURCO,8866.666666666666
148995907,santiago-de-surco,822500.0,350.0,189.0,3,2,1,Castilla la Vieja 7,Santiago de Surco,1,SANTIAGO DE SURCO,4351.851851851852
149356332,santiago-de-surco,870000.0,0.0,205.0,3,2,2,JR LAS Cantutas  al 200,Casuarinas Sur,1,SANTIAGO DE SURCO,4243.90243902439
148912675,santiago-de-surco,943880.0,600.0,134.0,3,3,2,Av. de los Precursores 575,Valle Hermoso Oeste,1,SANTIAGO DE SURCO,7043.880597014925
149206828,santiago-de-surco,962500.0,600.0,164.0,3,3,1,Calle las Campanillas  Casuarinas Surco,Las Casuarinas Alta,1,SANTIAGO DE SURCO,5868.90243902439
148281562,santiago-de-surco,1079534.0,585.0,236.0,4,2,2,Ca. Batallon Tarma 315,Santiago de Surco,1,SANTIAGO DE SURCO,4574.296610169492
146683328,santiago-de-surco,1176500.0,300.0,150.0,2,2,2,las laderas,Santiago de Surco,1,SANTIAGO DE SURCO,7843.333333333333
148654543,santiago-de-surco,1303680.0,550.0,306.0,3,2,2,"Valle Hermoso, Surco, Duplex 3 Dormitorios, Vista Externa, No Paga Alcabala",Valle Hermoso,1,SANTIAGO DE SURCO,4260.392156862745
