listing_id,source,district,ubigeo,address,urbanization,price_soles,area_m2,price_per_m2,rooms,bathrooms,parking,maintenance_fee,photos_count,district_median_price_m2,baseline_price_soles,opportunity_score_baseline,crime_index_zone,crime_trend_zone,urban_convenience_index,zone_composite_index,idh_2019,pct_pobreza_total
148569624,Urbania,SANTIAGO DE SURCO,150140,Pasaje Estepa Rusa 181,Santiago de Surco,1390250.0,283.0,4912.5,4,3,2,950.0,1,5606.0,1586498.0,0.124,0.326,mejorando,0.382,0.528,0.802,1.23
148545155,Urbania,SANTIAGO DE SURCO,150140,"Calle Via Lactea, Cerca a la Universidad de Lima, Surco",Santiago de Surco,1747200.0,400.0,4368.0,4,4,2,600.0,10,5606.0,2242400.0,0.221,0.326,mejorando,0.382,0.528,0.802,1.23
147989276,Urbania,SANTIAGO DE SURCO,150140,Av. Bielovucic Cavalier 1XX. Chacarilla San Borja,Chacarilla Del Estanque,2105000.0,324.0,6496.9,4,5,2,800.0,1,5606.0,1816344.0,-0.159,0.326,mejorando,0.382,0.528,0.802,1.23
149126210,Urbania,SURQUILLO,150141,Andrés Luna,La Calera,220000.0,35.0,6285.7,1,1,0,160.0,1,6566.0,229810.0,0.043,0.285,mejorando,0.648,0.682,0.817,2.75
147078155,Urbania,SURQUILLO,150141,Surquillo,Surquillo,232000.0,26.0,8923.1,1,1,0,0.0,1,6566.0,170716.0,-0.359,0.285,mejorando,0.648,0.682,0.817,2.75
149038118,Urbania,SURQUILLO,150141,Laurel Rosa,Los Sauces,274700.0,40.0,6867.5,1,1,0,0.0,1,6566.0,262640.0,-0.046,0.285,mejorando,0.648,0.682,0.817,2.75
4325305,Urbania,SURQUILLO,150141,"CALLE ARTURO DURAY, SEGUNDA CUADRA",Surquillo,282000.0,44.0,6409.1,2,1,1,150.0,1,6566.0,288904.0,0.024,0.285,mejorando,0.648,0.682,0.817,2.75
149112909,Urbania,SURQUILLO,150141,Narciso DE LA Colina  10,Surquillo,286450.0,56.0,5115.2,3,2,0,0.0,1,6566.0,367696.0,0.221,0.285,mejorando,0.648,0.682,0.817,2.75
148280459,Urbania,SURQUILLO,150141,Av. Tomás Marsano con Av. Guardia Civil,Surquillo,340000.0,41.0,8292.7,1,1,0,0.0,1,6566.0,269206.0,-0.263,0.285,mejorando,0.648,0.682,0.817,2.75
4559358,Urbania,SURQUILLO,150141,CALLE EL CEREZO N° 274,La Calera,350000.0,49.0,7142.9,2,2,1,0.0,1,6566.0,321734.0,-0.088,0.285,mejorando,0.648,0.682,0.817,2.75
146436708,Urbania,SURQUILLO,150141,Av. Tomas marsano 2175,Los Sauces,390000.0,45.0,8666.7,1,1,1,220.0,1,6566.0,295470.0,-0.32,0.285,mejorando,0.648,0.682,0.817,2.75
149814857,Urbania,SURQUILLO,150141,Avenida Tomas Marsano al 2200,Surquillo,410000.0,53.0,7735.8,2,2,1,270.0,1,6566.0,347998.0,-0.178,0.285,mejorando,0.648,0.682,0.817,2.75
149364541,Urbania,SURQUILLO,150141,Calle Los Faisanes 139,Surquillo,428750.0,90.0,4763.9,3,2,1,200.0,1,6566.0,590940.0,0.274,0.285,mejorando,0.648,0.682,0.817,2.75
147520426,Urbania,SURQUILLO,150141,La Calera,La Calera,445000.0,73.0,6095.9,3,2,0,0.0,1,6566.0,479318.0,0.072,0.285,mejorando,0.648,0.682,0.817,2.75
149448230,Urbania,SURQUILLO,150141,Av. República de Panamá 4071,Surquillo,455000.0,57.0,7982.5,2,2,0,0.0,1,6566.0,374262.0,-0.216,0.285,mejorando,0.648,0.682,0.817,2.75
149603588,Urbania,SURQUILLO,150141,Calle Montesquieu 300,La Calera De La Merced,455847.0,75.0,6078.0,2,1,1,200.0,1,6566.0,492450.0,0.074,0.285,mejorando,0.648,0.682,0.817,2.75
149053752,Urbania,SURQUILLO,150141,Av. República de Panamá  4075,Limatambo,465750.0,70.0,6653.6,3,2,1,200.0,1,6566.0,459620.0,-0.013,0.285,mejorando,0.648,0.682,0.817,2.75
149790971,Urbania,SURQUILLO,150141,Av. Domingo Orué 456,Surquillo,467100.0,74.0,6312.2,3,1,0,0.0,1,6566.0,485884.0,0.039,0.285,mejorando,0.648,0.682,0.817,2.75
149506681,Urbania,SURQUILLO,150141,Av. Tomás Marsano 2273,Surquillo,473000.0,71.0,6662.0,3,2,0,0.0,1,6566.0,466186.0,-0.015,0.285,mejorando,0.648,0.682,0.817,2.75
149760982,Urbania,SURQUILLO,150141,Av. Principal N° 925 Departamento 801,Surquillo,490000.0,85.0,5764.7,3,2,1,380.0,1,6566.0,558110.0,0.122,0.285,mejorando,0.648,0.682,0.817,2.75
149527560,Urbania,SURQUILLO,150141,"Av Tomas Marsano N° 26xx, Dpto. 201, 202",Surquillo,492000.0,69.0,7130.4,3,2,1,0.0,1,6566.0,453054.0,-0.086,0.285,mejorando,0.648,0.682,0.817,2.75
65351301,Urbania,SURQUILLO,150141,Las tiendas,Surquillo,510000.0,100.0,5100.0,2,2,0,85.0,1,6566.0,656600.0,0.223,0.285,mejorando,0.648,0.682,0.817,2.75
147791666,Urbania,SURQUILLO,150141,Calle Alfa Aguila 124,Surquillo,528500.0,78.0,6775.6,3,2,1,220.0,1,6566.0,512148.0,-0.032,0.285,mejorando,0.648,0.682,0.817,2.75
149817785,Urbania,SURQUILLO,150141,San Carlos 384,Surquillo,532650.0,109.0,4886.7,4,2,0,80.0,1,6566.0,715694.0,0.256,0.285,mejorando,0.648,0.682,0.817,2.75
4647711,Urbania,SURQUILLO,150141,Av. Sergio Bernales,Barrio Medico,535674.0,65.0,8241.1,3,2,1,0.0,1,6566.0,426790.0,-0.255,0.285,mejorando,0.648,0.682,0.817,2.75
149725040,Urbania,SURQUILLO,150141,"Juan Fuentes con Octavio Paz, Los Sauces, Surquillo",Surquillo,537275.0,68.0,7901.1,2,2,0,0.0,1,6566.0,446488.0,-0.203,0.285,mejorando,0.648,0.682,0.817,2.75
148695135,Urbania,SURQUILLO,150141,La Calera de la Merced,Surquillo,538000.0,100.0,5380.0,3,3,0,0.0,1,6566.0,656600.0,0.181,0.285,mejorando,0.648,0.682,0.817,2.75
149287217,Urbania,SURQUILLO,150141,Andres Aramburú 600,Surquillo,543000.0,58.0,9362.1,2,2,0,0.0,1,6566.0,380828.0,-0.426,0.285,mejorando,0.648,0.682,0.817,2.75
149262722,Urbania,SURQUILLO,150141,La Calera de la Merced,La Calera De La Merced,562200.0,88.0,6388.6,3,2,0,0.0,1,6566.0,577808.0,0.027,0.285,mejorando,0.648,0.682,0.817,2.75
148353141,Urbania,SURQUILLO,150141,"Av. Tomas Marsano, Surquillo",Surquillo,595084.0,75.0,7934.5,3,2,0,0.0,1,6566.0,492450.0,-0.208,0.285,mejorando,0.648,0.682,0.817,2.75
149339732,Urbania,SURQUILLO,150141,Avenida Principal,Surquillo,622800.0,89.0,6997.8,3,3,2,0.0,1,6566.0,584374.0,-0.066,0.285,mejorando,0.648,0.682,0.817,2.75
149173758,Urbania,SURQUILLO,150141,Av. Andrés Aramburú,Surquillo,745000.0,76.0,9802.6,3,2,1,0.0,1,6566.0,499016.0,-0.493,0.285,mejorando,0.648,0.682,0.817,2.75
149871247,Urbania,SURQUILLO,150141,Calle Ortega y Gasset 200,La Calera De La Merced,759000.0,128.0,5929.7,3,2,1,0.0,1,6566.0,840448.0,0.097,0.285,mejorando,0.648,0.682,0.817,2.75
149561147,Urbania,SURQUILLO,150141,Lola Pardo Vargas 045,Aurora Este,774077.0,150.0,5160.5,3,2,1,460.0,1,6566.0,984900.0,0.214,0.285,mejorando,0.648,0.682,0.817,2.75
149911208,Urbania,SURQUILLO,150141,La Calera de Monterrico,Surquillo,776250.0,134.0,5792.9,4,2,1,250.0,10,6566.0,879844.0,0.118,0.285,mejorando,0.648,0.682,0.817,2.75
148690274,Urbania,SURQUILLO,150141,Av. Valles del Sur,Capebco,804000.0,108.0,7444.4,3,2,0,400.0,1,6566.0,709128.0,-0.134,0.285,mejorando,0.648,0.682,0.817,2.75
4609765,Urbania,SURQUILLO,150141,Av. Sergio Bernales,Surquillo,957600.0,165.0,5803.6,3,3,2,420.0,1,6566.0,1083390.0,0.116,0.285,mejorando,0.648,0.682,0.817,2.75
149270766,Urbania,SURQUILLO,150141,Diderot 311,La Calera De La Merced,1005606.0,186.0,5406.5,4,5,2,350.0,1,6566.0,1221276.0,0.177,0.285,mejorando,0.648,0.682,0.817,2.75
