idmanzana,ubigeo,distrito,codzona,codmzna,n_hogar,n_pob,estrato,estrato_label
070101033000210,070101,CALLAO,033,021,77,298,3,medio
070101033000220,070101,CALLAO,033,022,61,237,3,medio
070101033000200,070101,CALLAO,033,020,11,67,3,medio
070101033000250,070101,CALLAO,033,025,1,1,3,medio
070101033000270,070101,CALLAO,033,027,22,109,3,medio
070101033000280,070101,CALLAO,033,028,44,161,3,medio
070101033000300,070101,CALLAO,033,030,51,216,3,medio
070101033000130,070101,CALLAO,033,013,89,351,3,medio
070101033000290,070101,CALLAO,033,029,51,190,3,medio
070101033000260,070101,CALLAO,033,026,53,193,3,medio
070101033000120,070101,CALLAO,033,012,67,237,3,medio
070101033000240,070101,CALLAO,033,024,54,204,3,medio
070101033000320,070101,CALLAO,033,032,23,92,3,medio
070101033000310,070101,CALLAO,033,031,33,124,3,medio
070101033000110,070101,CALLAO,033,011,64,223,3,medio
070101033000080,070101,CALLAO,033,008,5,9,3,medio
070101033000230,070101,CALLAO,033,023,38,161,3,medio
070101009000530,070101,CALLAO,009,053,56,224,4,medio alto
070101009000520,070101,CALLAO,009,052,45,194,4,medio alto
070101009000270,070101,CALLAO,009,027,42,141,4,medio alto
070101009000490,070101,CALLAO,009,049,38,141,4,medio alto
070101009000210,070101,CALLAO,009,021,81,270,4,medio alto
07010101500061C,070101,CALLAO,015,061,4,9,2,medio bajo
070101009000510,070101,CALLAO,009,051,81,325,4,medio alto
070101009000180,070101,CALLAO,009,018,78,331,4,medio alto
07010101500061B,070101,CALLAO,015,061,15,49,2,medio bajo
070101009000540,070101,CALLAO,009,054,100,370,4,medio alto
070101009000500,070101,CALLAO,009,050,82,314,4,medio alto
070101033000150,070101,CALLAO,033,015,80,308,3,medio
070101033000160,070101,CALLAO,033,016,27,113,3,medio
070101033000070,070101,CALLAO,033,007,4,6,3,medio
070101033000350,070101,CALLAO,033,035,74,282,3,medio
070101033000330,070101,CALLAO,033,033,2,3,3,medio
070101033000370,070101,CALLAO,033,037,97,392,3,medio
070101033000340,070101,CALLAO,033,034,65,291,3,medio
070101033000170,070101,CALLAO,033,017,107,391,3,medio
070101009000150,070101,CALLAO,009,015,83,372,4,medio alto
070101033000090,070101,CALLAO,033,009,16,57,3,medio
070101009000470,070101,CALLAO,009,047,20,68,4,medio alto
070101009000580,070101,CALLAO,009,058,1,10,4,medio alto
070101009000060,070101,CALLAO,009,006,57,189,4,medio alto
070101009000440,070101,CALLAO,009,044,55,174,4,medio alto
070101009000030,070101,CALLAO,009,003,49,190,4,medio alto
070101009000460,070101,CALLAO,009,046,48,233,4,medio alto
070101009000450,070101,CALLAO,009,045,108,338,4,medio alto
070101009000140,070101,CALLAO,009,014,101,366,4,medio alto
070101009000020,070101,CALLAO,009,002,67,233,4,medio alto
070101009000010,070101,CALLAO,009,001,115,409,4,medio alto
070101009000170,070101,CALLAO,009,017,65,267,4,medio alto
070101009000070,070101,CALLAO,009,007,41,168,4,medio alto
070101009000040,070101,CALLAO,009,004,21,85,4,medio alto
070101009000080,070101,CALLAO,009,008,61,237,4,medio alto
070101009000120,070101,CALLAO,009,012,67,249,4,medio alto
070101009000100,070101,CALLAO,009,010,50,167,4,medio alto
070101009000110,070101,CALLAO,009,011,52,169,4,medio alto
070101009000240,070101,CALLAO,009,024,68,268,4,medio alto
070101009000250,070101,CALLAO,009,025,65,212,4,medio alto
070101009000280,070101,CALLAO,009,028,46,182,4,medio alto
070101009000230,070101,CALLAO,009,023,75,267,4,medio alto
070101009000220,070101,CALLAO,009,022,68,276,4,medio alto
070101009000130,070101,CALLAO,009,013,43,149,4,medio alto
070101009000290,070101,CALLAO,009,029,65,245,4,medio alto
070101033000100,070101,CALLAO,033,010,26,71,3,medio
070101033000380,070101,CALLAO,033,038,55,221,3,medio
070101009000200,070101,CALLAO,009,020,68,216,4,medio alto
070101033000550,070101,CALLAO,033,055,88,396,2,medio bajo
070101033000560,070101,CALLAO,033,056,107,461,2,medio bajo
070101033000420,070101,CALLAO,033,042,51,222,3,medio
070101033000440,070101,CALLAO,033,044,61,295,3,medio
070101033000570,070101,CALLAO,033,057,73,297,2,medio bajo
070101033000400,070101,CALLAO,033,040,48,193,3,medio
070101033000410,070101,CALLAO,033,041,67,270,3,medio
070101033000490,070101,CALLAO,033,049,39,147,3,medio
07010103300045A,070101,CALLAO,033,045,2,11,3,medio
070101033000540,070101,CALLAO,033,054,80,388,2,medio bajo
070101033000500,070101,CALLAO,033,050,38,179,3,medio
070101033000520,070101,CALLAO,033,052,50,198,3,medio
070101033000480,070101,CALLAO,033,048,30,127,3,medio
070101044000010,070101,CALLAO,044,001,111,376,3,medio
070101009000090,070101,CALLAO,009,009,54,159,4,medio alto
070101009000350,070101,CALLAO,009,035,44,141,4,medio alto
070101009000340,070101,CALLAO,009,034,36,114,4,medio alto
070101009000330,070101,CALLAO,009,033,1,2,4,medio alto
070101009000570,070101,CALLAO,009,057,28,116,4,medio alto
070101009000370,070101,CALLAO,009,037,80,259,4,medio alto
070101009000410,070101,CALLAO,009,041,107,358,4,medio alto
070101005000470,070101,CALLAO,005,047,17,60,3,medio
07010100500046A,070101,CALLAO,005,046,11,31,3,medio
070101044000060,070101,CALLAO,044,006,41,106,3,medio
070101009000390,070101,CALLAO,009,039,1,1,4,medio alto
070101009000420,070101,CALLAO,009,042,52,217,4,medio alto
070101044000030,070101,CALLAO,044,003,147,465,3,medio
070101009000300,070101,CALLAO,009,030,59,207,4,medio alto
070101009000560,070101,CALLAO,009,056,61,261,4,medio alto
070101009000480,070101,CALLAO,009,048,52,169,4,medio alto
070101044000080,070101,CALLAO,044,008,1,4,3,medio
07010100500046B,070101,CALLAO,005,046,14,39,3,medio
070101044000040,070101,CALLAO,044,004,41,152,3,medio
070101009000550,070101,CALLAO,009,055,65,274,4,medio alto
070101009000360,070101,CALLAO,009,036,62,240,4,medio alto
070101009000380,070101,CALLAO,009,038,83,322,4,medio alto
070101009000400,070101,CALLAO,009,040,121,418,4,medio alto
070101044000070,070101,CALLAO,044,007,75,253,3,medio
070101005000420,070101,CALLAO,005,042,24,76,3,medio
070101005000410,070101,CALLAO,005,041,20,57,3,medio
070101044000050,070101,CALLAO,044,005,63,216,3,medio
070101033000390,070101,CALLAO,033,039,48,198,3,medio
070101033000530,070101,CALLAO,033,053,68,352,2,medio bajo
070101009000310,070101,CALLAO,009,031,54,213,4,medio alto
07010100500045A,070101,CALLAO,005,045,25,94,2,medio bajo
070101005000520,070101,CALLAO,005,052,7,23,3,medio
07010100500050B,070101,CALLAO,005,050,6,16,3,medio
070101044000160,070101,CALLAO,044,016,197,679,3,medio
070101044000130,070101,CALLAO,044,013,146,478,3,medio
070101044000170,070101,CALLAO,044,017,121,403,3,medio
070101044000120,070101,CALLAO,044,012,43,150,3,medio
070101044000140,070101,CALLAO,044,014,189,661,3,medio
07010100500053C,070101,CALLAO,005,053,5,12,3,medio
07010100500059A,070101,CALLAO,005,059,1,2,3,medio
07010100500055B,070101,CALLAO,005,055,5,14,3,medio
070101005000130,070101,CALLAO,005,013,2,7,3,medio
070101005000360,070101,CALLAO,005,036,1,2,3,medio
07010100500055C,070101,CALLAO,005,055,4,13,3,medio
07010100500011A,070101,CALLAO,005,011,3,9,3,medio
07010100500005A,070101,CALLAO,005,005,1,1,3,medio
070101009000320,070101,CALLAO,009,032,35,117,4,medio alto
070101044000020,070101,CALLAO,044,002,119,389,3,medio
070101044000110,070101,CALLAO,044,011,32,85,3,medio
070101044000100,070101,CALLAO,044,010,106,314,3,medio
070101005000340,070101,CALLAO,005,034,22,80,3,medio
070101005000210,070101,CALLAO,005,021,46,168,3,medio
070101005000330,070101,CALLAO,005,033,27,136,3,medio
07010100500036A,070101,CALLAO,005,036,25,105,3,medio
070101005000150,070101,CALLAO,005,015,46,155,3,medio
070101005000300,070101,CALLAO,005,030,26,89,3,medio
070101005000320,070101,CALLAO,005,032,27,98,3,medio
070101005000170,070101,CALLAO,005,017,21,93,3,medio
070101005000350,070101,CALLAO,005,035,28,119,3,medio
070101005000310,070101,CALLAO,005,031,29,139,3,medio
070101005000160,070101,CALLAO,005,016,29,113,3,medio
070101005000190,070101,CALLAO,005,019,58,220,3,medio
070101005000260,070101,CALLAO,005,026,42,155,3,medio
070101005000220,070101,CALLAO,005,022,35,116,3,medio
07010100500039A,070101,CALLAO,005,039,21,63,3,medio
070101035000060,070101,CALLAO,035,006,32,137,3,medio
070101035000100,070101,CALLAO,035,010,40,203,3,medio
07010103500003A,070101,CALLAO,035,003,70,269,3,medio
070101005000450,070101,CALLAO,005,045,25,87,3,medio
070101044000090,070101,CALLAO,044,009,33,138,3,medio
07010100500053A,070101,CALLAO,005,053,11,32,3,medio
070101005000480,070101,CALLAO,005,048,27,90,3,medio
070101044000190,070101,CALLAO,044,019,347,1162,3,medio
070101044000200,070101,CALLAO,044,020,185,559,3,medio
070101044000230,070101,CALLAO,044,023,104,363,3,medio
070101044000150,070101,CALLAO,044,015,119,400,3,medio
07010100500055D,070101,CALLAO,005,055,7,27,3,medio
070101010000450,070101,CALLAO,010,045,85,345,4,medio alto
070101010000290,070101,CALLAO,010,029,51,188,4,medio alto
070101010000460,070101,CALLAO,010,046,116,447,4,medio alto
070101044000260,070101,CALLAO,044,026,47,144,3,medio
070101044000570,070101,CALLAO,044,057,31,111,3,medio
070101044000300,070101,CALLAO,044,030,173,535,3,medio
070101044000210,070101,CALLAO,044,021,118,323,3,medio
070101044000280,070101,CALLAO,044,028,68,189,3,medio
070101044000320,070101,CALLAO,044,032,83,320,3,medio
070101044000450,070101,CALLAO,044,045,174,538,3,medio
070101044000600,070101,CALLAO,044,060,40,152,3,medio
070101005000200,070101,CALLAO,005,020,37,137,3,medio
070101044000560,070101,CALLAO,044,056,41,161,3,medio
070101005000400,070101,CALLAO,005,040,23,98,3,medio
070101044000180,070101,CALLAO,044,018,216,735,3,medio
07010100500006B,070101,CALLAO,005,006,1,3,3,medio
070101044000540,070101,CALLAO,044,054,17,69,3,medio
07010104400050A,070101,CALLAO,044,050,27,100,3,medio
07010104400048A,070101,CALLAO,044,048,32,104,3,medio
070101044000550,070101,CALLAO,044,055,24,89,3,medio
070101044000380,070101,CALLAO,044,038,12,62,3,medio
070101044000330,070101,CALLAO,044,033,112,401,3,medio
070101044000530,070101,CALLAO,044,053,30,130,3,medio
070101044000390,070101,CALLAO,044,039,13,37,3,medio
070101044000370,070101,CALLAO,044,037,11,51,3,medio
07010104400046A,070101,CALLAO,044,046,32,111,3,medio
070101044000220,070101,CALLAO,044,022,156,494,3,medio
070101010000470,070101,CALLAO,010,047,45,152,4,medio alto
070101010000490,070101,CALLAO,010,049,24,70,4,medio alto
070101010000420,070101,CALLAO,010,042,57,192,4,medio alto
070101035000070,070101,CALLAO,035,007,32,140,3,medio
070101010000340,070101,CALLAO,010,034,17,67,4,medio alto
070101035000150,070101,CALLAO,035,015,29,139,3,medio
070101035000110,070101,CALLAO,035,011,49,235,3,medio
070101035000120,070101,CALLAO,035,012,44,213,3,medio
070101010000370,070101,CALLAO,010,037,68,252,4,medio alto
070101035000140,070101,CALLAO,035,014,50,224,3,medio
070101010000430,070101,CALLAO,010,043,43,155,4,medio alto
070101010000480,070101,CALLAO,010,048,28,86,4,medio alto
070101010000360,070101,CALLAO,010,036,66,301,4,medio alto
070101010000380,070101,CALLAO,010,038,58,180,4,medio alto
070101035000130,070101,CALLAO,035,013,45,205,3,medio
07010104400058B,070101,CALLAO,044,058,17,61,3,medio
070101035000190,070101,CALLAO,035,019,4,23,3,medio
070101035000160,070101,CALLAO,035,016,25,125,3,medio
070101035000230,070101,CALLAO,035,023,2,4,3,medio
070101035000180,070101,CALLAO,035,018,35,168,3,medio
070101035000260,070101,CALLAO,035,026,62,244,3,medio
070101035000250,070101,CALLAO,035,025,76,264,3,medio
070101035000280,070101,CALLAO,035,028,18,76,3,medio
070101035000270,070101,CALLAO,035,027,109,431,3,medio
070101035000320,070101,CALLAO,035,032,160,623,3,medio
070101035000390,070101,CALLAO,035,039,50,191,3,medio
070101035000290,070101,CALLAO,035,029,1,4,3,medio
070101035000220,070101,CALLAO,035,022,69,272,3,medio
070101035000300,070101,CALLAO,035,030,76,358,3,medio
070101035000240,070101,CALLAO,035,024,51,190,3,medio
070101035000210,070101,CALLAO,035,021,34,146,3,medio
070101035000370,070101,CALLAO,035,037,89,342,3,medio
070101035000360,070101,CALLAO,035,036,75,316,3,medio
070101035000380,070101,CALLAO,035,038,36,192,3,medio
070101035000490,070101,CALLAO,035,049,37,176,3,medio
070101035000480,070101,CALLAO,035,048,37,177,3,medio
070101044000590,070101,CALLAO,044,059,31,107,3,medio
070101035000420,070101,CALLAO,035,042,40,162,3,medio
070101035000410,070101,CALLAO,035,041,53,218,3,medio
070101035000440,070101,CALLAO,035,044,83,361,3,medio
070101010000350,070101,CALLAO,010,035,42,159,4,medio alto
070101035000090,070101,CALLAO,035,009,16,75,3,medio
070101010000320,070101,CALLAO,010,032,20,78,4,medio alto
070101010000310,070101,CALLAO,010,031,2,5,4,medio alto
070101010000400,070101,CALLAO,010,040,1,1,4,medio alto
070101010000240,070101,CALLAO,010,024,43,143,4,medio alto
070101010000070,070101,CALLAO,010,007,30,104,4,medio alto
070101010000020,070101,CALLAO,010,002,39,152,4,medio alto
070101010000220,070101,CALLAO,010,022,85,275,4,medio alto
070101010000120,070101,CALLAO,010,012,38,139,4,medio alto
070101010000080,070101,CALLAO,010,008,26,89,4,medio alto
070101010000200,070101,CALLAO,010,020,32,108,4,medio alto
070101006040240,070101,CALLAO,006,024,16,71,2,medio bajo
070101010000130,070101,CALLAO,010,013,45,175,4,medio alto
070101010000230,070101,CALLAO,010,023,59,197,4,medio alto
070101010000260,070101,CALLAO,010,026,24,85,4,medio alto
070101010000300,070101,CALLAO,010,030,31,85,4,medio alto
07010100700003A,070101,CALLAO,007,003,7,29,2,medio bajo
07010101000003B,070101,CALLAO,010,003,1,1,4,medio alto
07010100700003B,070101,CALLAO,007,003,30,111,2,medio bajo
070101010000170,070101,CALLAO,010,017,63,245,4,medio alto
070101010000110,070101,CALLAO,010,011,36,117,4,medio alto
070101010000060,070101,CALLAO,010,006,28,110,4,medio alto
070101010000040,070101,CALLAO,010,004,15,59,4,medio alto
070101007000010,070101,CALLAO,007,001,37,141,2,medio bajo
070101010000210,070101,CALLAO,010,021,34,133,4,medio alto
070101010000410,070101,CALLAO,010,041,21,90,4,medio alto
070101008000010,070101,CALLAO,008,001,47,188,3,medio
070101010000090,070101,CALLAO,010,009,34,98,4,medio alto
070101008000020,070101,CALLAO,008,002,74,261,3,medio
070101010000050,070101,CALLAO,010,005,35,149,4,medio alto
07010101000027A,070101,CALLAO,010,027,66,244,4,medio alto
07010101000019A,070101,CALLAO,010,019,60,194,4,medio alto
070101006040190,070101,CALLAO,006,019,19,53,2,medio bajo
070101010000160,070101,CALLAO,010,016,55,193,4,medio alto
070101010000180,070101,CALLAO,010,018,63,247,4,medio alto
070101035000170,070101,CALLAO,035,017,36,165,3,medio
070101007000020,070101,CALLAO,007,002,43,175,2,medio bajo
070101008000070,070101,CALLAO,008,007,48,177,3,medio
070101035000310,070101,CALLAO,035,031,41,170,3,medio
07010100700012B,070101,CALLAO,007,012,3,13,1,bajo
070101007000050,070101,CALLAO,007,005,6,27,2,medio bajo
07010100700008A,070101,CALLAO,007,008,14,51,2,medio bajo
070101006020580,070101,CALLAO,006,058,16,79,2,medio bajo
070101008000570,070101,CALLAO,008,057,67,238,4,medio alto
070101006020630,070101,CALLAO,006,063,28,119,2,medio bajo
070101006020540,070101,CALLAO,006,054,14,58,2,medio bajo
07010100602064B,070101,CALLAO,006,064,1,1,3,medio
070101008000560,070101,CALLAO,008,056,25,100,4,medio alto
070101044000350,070101,CALLAO,044,035,14,53,3,medio
070101044000340,070101,CALLAO,044,034,12,33,3,medio
070101044000440,070101,CALLAO,044,044,192,666,3,medio
070101045000010,070101,CALLAO,045,001,89,304,3,medio
070101044000430,070101,CALLAO,044,043,58,200,3,medio
070101045000030,070101,CALLAO,045,003,14,51,3,medio
070101044000410,070101,CALLAO,044,041,18,75,3,medio
070101045000020,070101,CALLAO,045,002,79,253,3,medio
070101045000050,070101,CALLAO,045,005,48,150,3,medio
070101035000340,070101,CALLAO,035,034,65,272,3,medio
070101045000040,070101,CALLAO,045,004,13,38,3,medio
070101035000460,070101,CALLAO,035,046,15,75,3,medio
070101041000020,070101,CALLAO,041,002,28,92,4,medio alto
07010103500003B,070101,CALLAO,035,003,101,404,3,medio
07010103500001A,070101,CALLAO,035,001,222,799,3,medio
070101035000450,070101,CALLAO,035,045,63,298,3,medio
070101035000500,070101,CALLAO,035,050,81,353,3,medio
070101035000350,070101,CALLAO,035,035,78,346,3,medio
070101010000330,070101,CALLAO,010,033,18,56,4,medio alto
070101041000080,070101,CALLAO,041,008,3,14,4,medio alto
070101045000150,070101,CALLAO,045,015,74,272,3,medio
070101045000060,070101,CALLAO,045,006,138,483,3,medio
070101045000080,070101,CALLAO,045,008,142,422,3,medio
070101045000180,070101,CALLAO,045,018,25,80,3,medio
070101010000390,070101,CALLAO,010,039,35,113,4,medio alto
070101041000070,070101,CALLAO,041,007,20,73,4,medio alto
070101041000090,070101,CALLAO,041,009,9,39,4,medio alto
070101010000140,070101,CALLAO,010,014,64,239,4,medio alto
070101041000150,070101,CALLAO,041,015,61,183,4,medio alto
070101041000220,070101,CALLAO,041,022,70,221,4,medio alto
070101041000240,070101,CALLAO,041,024,14,43,4,medio alto
070101041000160,070101,CALLAO,041,016,37,125,4,medio alto
070101041000230,070101,CALLAO,041,023,15,41,4,medio alto
070101041000210,070101,CALLAO,041,021,27,94,4,medio alto
070101041000250,070101,CALLAO,041,025,8,30,4,medio alto
070101041000550,070101,CALLAO,041,055,1,1,3,medio
07010104100012A,070101,CALLAO,041,012,16,62,3,medio
070101041000470,070101,CALLAO,041,047,18,69,3,medio
070101041000520,070101,CALLAO,041,052,13,45,3,medio
070101041000490,070101,CALLAO,041,049,15,63,3,medio
070101041000450,070101,CALLAO,041,045,48,175,3,medio
070101041000480,070101,CALLAO,041,048,17,62,3,medio
070101041000560,070101,CALLAO,041,056,18,108,3,medio
070101041000540,070101,CALLAO,041,054,15,48,3,medio
070101041000530,070101,CALLAO,041,053,14,61,3,medio
07010100604021A,070101,CALLAO,006,021,15,63,2,medio bajo
07010104500027A,070101,CALLAO,045,027,47,166,3,medio
070101045000140,070101,CALLAO,045,014,169,560,3,medio
070101045000220,070101,CALLAO,045,022,77,246,3,medio
070101045000130,070101,CALLAO,045,013,160,557,3,medio
070101041000390,070101,CALLAO,041,039,43,122,4,medio alto
070101045000090,070101,CALLAO,045,009,53,170,3,medio
070101045000210,070101,CALLAO,045,021,63,195,3,medio
070101041000360,070101,CALLAO,041,036,42,124,4,medio alto
070101045000300,070101,CALLAO,045,030,110,378,3,medio
070101041000130,070101,CALLAO,041,013,17,42,4,medio alto
070101045000190,070101,CALLAO,045,019,34,95,3,medio
070101045000290,070101,CALLAO,045,029,62,193,3,medio
070101045000200,070101,CALLAO,045,020,86,292,3,medio
070101041000370,070101,CALLAO,041,037,18,50,4,medio alto
070101041000140,070101,CALLAO,041,014,60,199,4,medio alto
07010104500027B,070101,CALLAO,045,027,25,96,3,medio
070101045000100,070101,CALLAO,045,010,67,228,3,medio
070101045000280,070101,CALLAO,045,028,16,55,3,medio
070101041000440,070101,CALLAO,041,044,38,93,3,medio
070101045000110,070101,CALLAO,045,011,109,338,3,medio
070101044000360,070101,CALLAO,044,036,15,57,3,medio
070101044000400,070101,CALLAO,044,040,72,255,3,medio
070101006010630,070101,CALLAO,006,063,22,63,3,medio
070101007000110,070101,CALLAO,007,011,8,41,1,bajo
070101006010620,070101,CALLAO,006,062,28,105,3,medio
07010100700009B,070101,CALLAO,007,009,17,68,1,bajo
07010100601021A,070101,CALLAO,006,021,17,105,2,medio bajo
070101006010170,070101,CALLAO,006,017,21,79,2,medio bajo
070101006010180,070101,CALLAO,006,018,29,99,3,medio
070101045000160,070101,CALLAO,045,016,28,79,3,medio
070101041000040,070101,CALLAO,041,004,12,33,4,medio alto
070101007000070,070101,CALLAO,007,007,18,73,2,medio bajo
07010100700012A,070101,CALLAO,007,012,16,62,1,bajo
07010100700046A,070101,CALLAO,007,046,4,20,3,medio
07010100602037A,070101,CALLAO,006,037,5,27,3,medio
07010100700006A,070101,CALLAO,007,006,8,25,2,medio bajo
070101006040090,070101,CALLAO,006,009,28,104,2,medio bajo
070101008000600,070101,CALLAO,008,060,682,2128,5,alto
070101008000280,070101,CALLAO,008,028,82,331,4,medio alto
07010100700019A,070101,CALLAO,007,019,6,35,2,medio bajo
070101008000530,070101,CALLAO,008,053,79,288,4,medio alto
070101008000500,070101,CALLAO,008,050,57,194,4,medio alto
070101008000060,070101,CALLAO,008,006,36,138,3,medio
070101008000270,070101,CALLAO,008,027,92,310,4,medio alto
070101008000520,070101,CALLAO,008,052,8,34,4,medio alto
07010100700017A,070101,CALLAO,007,017,4,13,2,medio bajo
070101050000390,070101,CALLAO,050,039,58,194,4,medio alto
07010100700009E,070101,CALLAO,007,009,20,75,2,medio bajo
07010100700018G,070101,CALLAO,007,018,8,25,2,medio bajo
07010104100040B,070101,CALLAO,041,040,11,43,3,medio
070101041000060,070101,CALLAO,041,006,26,88,4,medio alto
07010100604010A,070101,CALLAO,006,010,8,35,2,medio bajo
070101006040080,070101,CALLAO,006,008,13,40,2,medio bajo
07010100604011A,070101,CALLAO,006,011,20,97,2,medio bajo
07010100604022A,070101,CALLAO,006,022,7,21,2,medio bajo
070101006020660,070101,CALLAO,006,066,38,139,2,medio bajo
070101041000580,070101,CALLAO,041,058,2,2,3,medio
070101045000170,070101,CALLAO,045,017,13,42,3,medio
070101041000460,070101,CALLAO,041,046,21,83,3,medio
070101045000330,070101,CALLAO,045,033,45,149,3,medio
070101045000520,070101,CALLAO,045,052,133,414,3,medio
070101045000560,070101,CALLAO,045,056,152,452,3,medio
07010104500045B,070101,CALLAO,045,045,139,385,3,medio
070101045000570,070101,CALLAO,045,057,53,199,3,medio
070101045000550,070101,CALLAO,045,055,94,327,3,medio
070101045000320,070101,CALLAO,045,032,51,188,3,medio
070101045000490,070101,CALLAO,045,049,246,729,3,medio
070101045000410,070101,CALLAO,045,041,25,95,3,medio
070101045000380,070101,CALLAO,045,038,54,216,3,medio
070101045000500,070101,CALLAO,045,050,46,170,3,medio
070101045000470,070101,CALLAO,045,047,168,603,3,medio
070101045000440,070101,CALLAO,045,044,1,4,3,medio
070101045000510,070101,CALLAO,045,051,4,9,3,medio
070101045000260,070101,CALLAO,045,026,107,368,3,medio
070101045000400,070101,CALLAO,045,040,26,93,3,medio
070101045000310,070101,CALLAO,045,031,229,694,3,medio
070101045000540,070101,CALLAO,045,054,50,183,3,medio
070101045000420,070101,CALLAO,045,042,8,38,3,medio
070101045000530,070101,CALLAO,045,053,89,263,3,medio
070101045000460,070101,CALLAO,045,046,62,209,3,medio
07010104500045A,070101,CALLAO,045,045,261,797,3,medio
070101045000430,070101,CALLAO,045,043,293,870,3,medio
070101045000390,070101,CALLAO,045,039,34,136,3,medio
070101045000360,070101,CALLAO,045,036,42,117,3,medio
070101006020670,070101,CALLAO,006,067,30,135,2,medio bajo
070101045000120,070101,CALLAO,045,012,37,111,3,medio
070101041000310,070101,CALLAO,041,031,6,9,3,medio
07010100700009A,070101,CALLAO,007,009,10,46,1,bajo
070101045000240,070101,CALLAO,045,024,95,297,3,medio
070101041000270,070101,CALLAO,041,027,17,59,3,medio
070101006010470,070101,CALLAO,006,047,14,69,2,medio bajo
070101006010400,070101,CALLAO,006,040,38,116,2,medio bajo
070101006010610,070101,CALLAO,006,061,18,75,2,medio bajo
070101006010570,070101,CALLAO,006,057,6,26,2,medio bajo
070101006010540,070101,CALLAO,006,054,17,64,2,medio bajo
07010100601060C,070101,CALLAO,006,060,8,28,2,medio bajo
07010100604016B,070101,CALLAO,006,016,9,36,2,medio bajo
070101050000410,070101,CALLAO,050,041,57,212,4,medio alto
070101050000400,070101,CALLAO,050,040,62,239,4,medio alto
070101032000010,070101,CALLAO,032,001,7,52,3,medio
070101050000380,070101,CALLAO,050,038,41,175,4,medio alto
070101045000350,070101,CALLAO,045,035,97,326,3,medio
070101032000020,070101,CALLAO,032,002,38,163,3,medio
070101032000030,070101,CALLAO,032,003,68,283,3,medio
070101032000050,070101,CALLAO,032,005,20,107,3,medio
070101032000120,070101,CALLAO,032,012,59,237,3,medio
070101032000070,070101,CALLAO,032,007,35,179,3,medio
070101032000130,070101,CALLAO,032,013,60,209,3,medio
070101032000090,070101,CALLAO,032,009,55,218,3,medio
070101032000100,070101,CALLAO,032,010,55,209,3,medio
070101032000080,070101,CALLAO,032,008,36,140,3,medio
070101032000060,070101,CALLAO,032,006,27,114,3,medio
07010105000003A,070101,CALLAO,050,003,155,652,4,medio alto
070101050000230,070101,CALLAO,050,023,46,182,4,medio alto
07010105000026B,070101,CALLAO,050,026,22,98,4,medio alto
070101050000250,070101,CALLAO,050,025,45,179,4,medio alto
070101045000250,070101,CALLAO,045,025,87,273,3,medio
070101050000240,070101,CALLAO,050,024,70,256,4,medio alto
070101007000040,070101,CALLAO,007,004,31,145,2,medio bajo
070101006010030,070101,CALLAO,006,003,14,62,3,medio
07010100700016A,070101,CALLAO,007,016,3,13,2,medio bajo
07010100601064C,070101,CALLAO,006,064,9,46,3,medio
07010100700018D,070101,CALLAO,007,018,8,42,2,medio bajo
070101050000310,070101,CALLAO,050,031,54,209,4,medio alto
07010100700018A,070101,CALLAO,007,018,20,72,1,bajo
07010100602051C,070101,CALLAO,006,051,24,121,2,medio bajo
07010100700015A,070101,CALLAO,007,015,14,45,1,bajo
07010100602052A,070101,CALLAO,006,052,14,41,2,medio bajo
07010100602052B,070101,CALLAO,006,052,18,70,2,medio bajo
07010100601060B,070101,CALLAO,006,060,13,56,2,medio bajo
070101007000160,070101,CALLAO,007,016,4,20,1,bajo
07010100602060A,070101,CALLAO,006,060,25,88,2,medio bajo
070101006020590,070101,CALLAO,006,059,18,60,2,medio bajo
07010100602052C,070101,CALLAO,006,052,5,24,2,medio bajo
070101006020610,070101,CALLAO,006,061,24,87,2,medio bajo
070101006020620,070101,CALLAO,006,062,26,94,2,medio bajo
070101050000320,070101,CALLAO,050,032,41,122,4,medio alto
070101032000140,070101,CALLAO,032,014,57,238,3,medio
070101032000150,070101,CALLAO,032,015,79,272,3,medio
070101050000330,070101,CALLAO,050,033,22,78,4,medio alto
070101050000210,070101,CALLAO,050,021,28,109,4,medio alto
070101050000340,070101,CALLAO,050,034,63,250,4,medio alto
070101050000200,070101,CALLAO,050,020,50,220,4,medio alto
070101006010560,070101,CALLAO,006,056,10,58,2,medio bajo
070101045000370,070101,CALLAO,045,037,60,203,3,medio
070101050000520,070101,CALLAO,050,052,69,290,4,medio alto
070101045000340,070101,CALLAO,045,034,44,111,3,medio
070101032000230,070101,CALLAO,032,023,58,271,3,medio
070101032000260,070101,CALLAO,032,026,64,240,3,medio
07010103200030A,070101,CALLAO,032,030,3,7,3,medio
070101032000240,070101,CALLAO,032,024,43,215,3,medio
070101050000140,070101,CALLAO,050,014,15,53,4,medio alto
070101032000350,070101,CALLAO,032,035,14,58,3,medio
070101050000120,070101,CALLAO,050,012,46,206,4,medio alto
070101050000430,070101,CALLAO,050,043,41,154,4,medio alto
070101032000360,070101,CALLAO,032,036,35,159,3,medio
070101032000370,070101,CALLAO,032,037,32,141,3,medio
070101050000100,070101,CALLAO,050,010,25,88,4,medio alto
070101050000160,070101,CALLAO,050,016,23,87,4,medio alto
070101032000330,070101,CALLAO,032,033,32,118,3,medio
070101032000320,070101,CALLAO,032,032,64,206,3,medio
