proyecto,codigo_proyecto,promotor,direccion,departamento,provincia,distrito,periodo_publicacion,area_techada_min,area_techada_max,area_lote_min,area_lote_max,precio_min,precio_max,unidades_disponibles,bono_verde,web,telefono,programa
PLAZA 27 RESIDENCIAL,,GRUPO INT S.A.C,Av 17 Noviembre y Jr Octavio Hinostroza,ANCASH,HUARAZ,HUARAZ,1/07/2026,75.0,40.0,0.0,0.0,380000.0,210000.0,33,0,www.grupoint.pe,954904331,nuevo_credito_mivivienda
OASIZ ,,GRUPO INT S.A.C,PROLONGANCIÓN PABLO PATRÓN 550,ANCASH,HUARAZ,INDEPENDENCIA,1/07/2026,114.0,78.35,0.0,0.0,350000.0,270000.0,2,0,https://grupoint.pe/,927171245,nuevo_credito_mivivienda
SOL DE LA CAMPIÑA - CHIMBOTE,,CONSTRUCTORA GALILEA S.A.C.,Prolongación Av. Buenos Aires km 4.2 La Campiña,ANCASH,CHIMBOTE,La Campiña,1/07/2026,83.3,41.7,0.0,0.0,237990.0,173990.0,265,2,https://galilea.com.pe/sol-de-campina/ ,994 698 410,nuevo_credito_mivivienda
RESIDENCIAL GARDENIAS,,GRUPO INMOBILIARIO MOLINA SRL,JR GARDENIAS S/N,APURÍMAC,ABANCAY,ABANCAY,1/07/2026,52.0,50.0,0.0,0.0,175000.0,135000.0,15,1,https://www.facebook.com/constructoramolinasrl,948240147,nuevo_credito_mivivienda
RESIDENCIAL LOS LIRIOS,,Constructora y Consultora Molina SRL,"JR LOS LIRIOS S/N, PATIBAMBA BAJA",APURÍMAC,ABANCAY,ABANCAY,1/07/2026,78.0,35.0,0.0,0.0,243500.0,107500.0,9,0,https://www.facebook.com/constructoramolinasrl,948240147,nuevo_credito_mivivienda
EDIFICIO MULTIFAMILIAR HESTIA,,GIL & RODRIGUEZ INVERSIONES INOBILIARIAS S.A.C,URBANIZACIÓN INDEPENDENCIA AMERICA MZ A LOTE 2,AREQUIPA,AREQUIPA,AREQUIPA,1/07/2026,66.68,43.5,0.0,0.0,219725.0,190312.0,17,0,www.hestia.pe,959332660,nuevo_credito_mivivienda
EDIFICIO MULTIFAMILIAR MIRANDA,,ERIKA MIRANDA DEL CARPIO,URB. AMPLIACION LA NEGRITA MZC LOTE11,AREQUIPA,AREQUIPA,AREQUIPA,1/07/2026,189.3,162.0,0.0,0.0,355000.0,193794.0,5,0,,950327825,nuevo_credito_mivivienda
MAGNA 193,,AML CONSTRUCTORA Y CONSULTORIA S.A.C.,"Urbanizacion La Quinta Umacollo, Calle Garcilazo de la Vega S/N Manzana R, Lote 193",AREQUIPA,AREQUIPA,AREQUIPA,1/07/2026,89.5,72.4,0.0,0.0,395000.0,265000.0,20,0,https://www.instagram.com/amlconstructorayconsultora?igsh=em1vYm1manY4YzB0,915146875,nuevo_credito_mivivienda
VIVE UMACOLLO,,VALTE CORPORACION S.A.C. ,CALLE RENATO MORALES DE RIVERA N° 61-67,AREQUIPA,AREQUIPA,AREQUIPA,1/07/2026,72.81,57.19,0.0,0.0,334197.9,262502.1,26,0,https://www.facebook.com/61590062880789/posts/pfbid0JUhCaDWGna5mhhXvaGFhWbKmZrinip6cbx3R7BuSqmQdoLrSuuo67UW1uBGAZfThl/,969520225,nuevo_credito_mivivienda
ARCADIA ROOSVELT,,ARCADIA INVESTMENTS SAC,"Asentamiento Humano Gráficos - Av, Roosvelt Q-16",AREQUIPA,Arequipa,Alto Selva Alegre,1/07/2026,102.0,54.8,0.0,0.0,339150.0,182210.0,14,0,https://www.facebook.com/share/17ENh3UmYh/,959927034,nuevo_credito_mivivienda
RESIDENCIAL CASTILLA II,,Alferza Desarrolladora Inmobiliaria,Psje. Ronda La Isla 106 Cercado - Arequipa,AREQUIPA,Arequipa,Arequipa,1/07/2026,138.37,32.33,0.0,0.0,545642.0,198000.0,41,2,https://alferza.pe/proyectos/castilla-b/,916877027,nuevo_credito_mivivienda
ARES 902 - BOUTIQUE APARTS,,HESTIA COIMSER,Av. Bolognesi 902,AREQUIPA,AREQUIPA,CAYMA,1/07/2026,80.0,80.0,0.0,0.0,0.0,443200.0,6,0,https://hestiacoimser.com/index.php,912 374 630,nuevo_credito_mivivienda
EDIFICIO MULTIFAMILIAR BELLO HORIZONTE II,,NAYAT INVERSIONES S.A.C.,"URBANIZACIÓN UN RINCÓN EN LA CHACRITA 2DA. ETAPA, MZ. B LOTE 1 CAYMA, AREQUIPA",AREQUIPA,AREQUIPA,CAYMA,1/07/2026,61.5,59.2,0.0,0.0,268000.0,255000.0,5,0,https://web.facebook.com/grupoasasconstructora/?locale=es_LA&_rdc=1&_rdr#,961314020,nuevo_credito_mivivienda
MULTIFAMILIAR VITA,,MURALLA CONSTRUCION Y SERVICIOS INMOBILIARIOS EIRL,"URB. VALLE ESCONDIDO mz. B, Lote 22-23",AREQUIPA,AREQUIPA,CAYMA,1/07/2026,72.0,72.0,0.0,0.0,430000.0,380000.0,5,0,https://casanueva.pe,959382667,nuevo_credito_mivivienda
ROMAÑA 125,,HENKO HOLDING S.A.C,CALLE ROMAÑA 125,AREQUIPA,AREQUIPA,CERCADO,1/07/2026,76.67,41.69,0.0,0.0,379516.5,206365.5,60,0,https://www.instagram.com/edificacioneshenko?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,986 681 328,nuevo_credito_mivivienda
"CONJUNTO RESIDENCIAL ""LA ARBOLEDA - FASE II - ETAPA l""",,CLASEM S.A.C.,UC El Reintegro Mz A Lote 1 Sección Fase 2 - Sector Lateral 4-Primera Etapa - Cerro Colorado - Arequipa,AREQUIPA,AREQUIPA,CERRO COLORADO,1/07/2026,80.74,76.42,0.0,0.0,403000.0,255000.0,67,2,https://clasem.com/proyecto/la-arboleda/,957564896,nuevo_credito_mivivienda
Casaparq - Etapa III y IV,,CISSAC,Calle A 1 Urb El Rosario II Conodminio Casaparq,AREQUIPA,AREQUIPA,CERRO COLORADO,1/07/2026,75.0,64.7,0.0,0.0,355000.0,251901.0,96,2,https://cissacperu.com/,936297293,nuevo_credito_mivivienda
LUZZO CONDOMINIO,,CAPITAL CONSTRUCCIÓN E INFRAESTRCUCTURA SAC,Fundo Challapampa Mzj Sub Lote 1-A Cooperativa Frank Michell LTDA,AREQUIPA,AREQUIPA,CERRO COLORADO,1/07/2026,165.0,40.0,0.0,0.0,0.0,243562.0,97,1,https://anden.com.pe/condominio-en-cerro-colorado/,942800777,nuevo_credito_mivivienda
PROYECTO MULTIFAMILIAR TORRES DE ZEUS,, H & C INVERSIONES INMOBILIARIAS S.A.C,Av. Chachani S/N,AREQUIPA,AREQUIPA,CERRO COLORADO,1/07/2026,72.75,59.1,0.0,0.0,395500.0,280000.0,60,2,https://hestiacoimser.com/index.php,912 374 630,nuevo_credito_mivivienda
Residencial Acces,,Alferza Desarrolladora Inmobiliaria,Calle Los Arces 295,AREQUIPA,Arequipa,Cayma,1/07/2026,45.73,42.22,0.0,0.0,305939.0,237240.0,15,2,https://alferza.pe/proyectos/access-residencial/,916877027,nuevo_credito_mivivienda
Conjunto Residencial “Las Lomas de la Alameda – Etapa 2”,,CLASEM S.A.C.,"PROLONGACION CALLE 5, Mz. 2C, LOTE 1, URB. ALAMEDA SALAVERRY ",AREQUIPA,AREQUIPA,MIRAFLORES,1/07/2026,57.43,56.84,0.0,0.0,219900.0,210000.0,62,0,https://clasem.com/proyecto/lomas-de-la-alameda/,946021300,nuevo_credito_mivivienda
FORGA CONSTRUCTORA E INMOBILIARIA SAC,,EDIFICIO FORGA,P.T. INCLÁN MZ F SUBLOTE 7,AREQUIPA,ISLAY,MOLLENDO,1/07/2026,89.52,72.32,0.0,0.0,374400.0,302400.0,5,0,https://forgaconstructora.com/,953938711,nuevo_credito_mivivienda
RESIDENCIAL CALLACPUMA,,JENNY BOÑON VIVAR,JR. CALLACPUMA 507 ,CAJAMARCA,CAJAMARCA,BAÑOS DEL INCA,1/07/2026,85.0,80.0,0.0,0.0,190000.0,130000.0,7,0,https://www.facebook.com/share/1KzvYbF3gr/,974784881,nuevo_credito_mivivienda
Nuevavista Condominio,, SAN JOSÉ INMOBILIARIA PERÚ S.A.C.,Av Venezuela 2597,CALLAO,CALLAO,BELLAVISTA,1/07/2026,68.98,68.98,0.0,0.0,320000.0,303000.0,7,2,https://nuevavista.com.pe/,981 411 161,nuevo_credito_mivivienda
TERRAZAS DE BELLAVISTA,,NADLAN / INMOBILIARIA LA CHALACA,JR GRAU 455,CALLAO,CALLAO,BELLAVISTA,1/07/2026,65.0,55.0,0.0,0.0,324000.0,275000.0,40,2,www.nadlan.com.pe,989442802 - 986630795,nuevo_credito_mivivienda
LOS PARQUES DEL CALLAO CONDOMINIO RESIDENCIAL,,VIVA NEGOCIO INMOBILIARIO,AV. ARGENTINA 2430,CALLAO,CALLAO,CALLAO,1/07/2026,63.53,51.92,0.0,0.0,290000.0,221900.0,450,2,https://viva.com.pe/proyecto/los-parques-del-callao-condominio-residencial,959972546,nuevo_credito_mivivienda
Villa Monumental,,CONSTRUCTORA CUMBRES VILLANOVA S.A.C.,"Av. Argentina 1784, Callao - Callao",CALLAO,Callao,Callao,1/07/2026,70.0,57.0,0.0,0.0,280000.0,218000.0,120,2,www.cumbres.pe,981356556 / 923511349 / 983454660 / 926918360 / 933 985 027,nuevo_credito_mivivienda
PROYECTO PERLAMAR,,COLONIA GRUPO INMOBILIARIA SAC.,AV JOSE GALVEZ 1314,CALLAO,CALLAO,LA PERLA,1/07/2026,67.5,45.0,0.0,0.0,300000.0,200000.0,38,1,https://grupocolonia.com/project/multifamiliar-perlamar/,996067002,nuevo_credito_mivivienda
NUEVOS AIRES DE VENTANILLA,,TWO DESARROLLOS INMOBILIARIOS S.A.C.,"Calle 11, Urb. Pedro Cueva, Ventanilla - Callao",CALLAO,CALLAO,VENTANILLA,1/07/2026,78.0,40.0,0.0,0.0,243200.0,130000.0,91,2,https://nuevosairesdeventanilla.pe/landing/,991813097,nuevo_credito_mivivienda
Villanova,,CONSTRUCTORA CUMBRES VILLANOVA S.A.C.,"Av. Alameda 1 - 282, Callao",CALLAO ,CALLAO ,CALLAO ,1/07/2026,71.0,58.0,0.0,0.0,290000.0,217300.0,120,2,www.cumbres.pe,981356556 / 923511349 / 983454660 / 926918360 / 933 985 027,nuevo_credito_mivivienda
EDIFICIO MULTIFAMILIAR FLORENCIA 107,,PROCASA INVERSIONES INMOBILIARIA Y MULTISERVICIOS S.A.C.,URB QUISPICANCHIS AV. NICARAGUA H-5,CUSCO,CUSCO,CUSCO,1/07/2026,69.69,40.0,0.0,0.0,381800.0,262000.0,18,0,https://www.facebook.com/share/17URHoFGog/?mibextid=wwXIfr,933704877,nuevo_credito_mivivienda
Edificio Multifamiliar THE ROOT,,INKASA GESTORA DE PROYECTOS S.A.C. ,"Urb. Manuel Prado N15 MZ D, Calle Ollantaytambo",CUSCO,CUSCO ,CUSCO ,1/07/2026,105.87,40.0,0.0,0.0,488800.0,198000.0,13,0,https://inkasa.pe/,908841760,nuevo_credito_mivivienda
RESIDENCIAL CARMELIA,,GRUPO WAMOL,URB. MAGISTERIO 1ERA ETAPA CALLE OSWALDO BACA J-4,CUSCO,CUSCO ,CUSCO ,1/07/2026,58.56,47.6,0.0,0.0,373000.0,303000.0,6,0,grupowamol.com,984706280,nuevo_credito_mivivienda
RESIDENCIAL VASARI ,,GRUPO WAMOL ,"Av.Venezuela y Jr. Panamá  I - 1 – 2 , Urb. Quispicanchis Cusco - Cusco",CUSCO,CUSCO ,CUSCO ,1/07/2026,78.0,44.45,0.0,0.0,475000.0,265000.0,47,0,grupowamol.com,984706280,nuevo_credito_mivivienda
EDIFICIO MULTIFAMILIAR TOKIO 107,,PROCASA INVERSIONES INMOBILIARIA Y MULTISERVICIOS S.A.C.,URB. CACHIMAYO AV. LA CULTURA F. SANTUTIS F-11,CUSCO,CUSCO,SAN SEBASTIAN,1/07/2026,77.63,50.7,0.0,0.0,378400.0,272200.0,34,0,https://www.facebook.com/share/17URHoFGog/?mibextid=wwXIfr,933704877,nuevo_credito_mivivienda
Edificio Multifamiliar SOUL,,INKASA GESTORA DE PROYECTOS S.A.C. ,"Urb. Coviduc Lote A-16 MZ F, San Sebastián",CUSCO,CUSCO ,SAN SEBASTIAN ,1/07/2026,89.78,70.89,0.0,0.0,467000.0,386000.0,5,0,https://inkasa.pe/,908841760,nuevo_credito_mivivienda
Edificio Multifamiliar TERRA,,INKASA GESTORA DE PROYECTOS S.A.C. ,"Urb. Coviduc Lote F-8, San Sebastián",CUSCO,CUSCO,SAN SEBASTIAN ,1/07/2026,100.09,44.21,0.0,0.0,458000.0,262000.0,6,0,https://www.facebook.com/share/19EvzWMaST/,908841760,nuevo_credito_mivivienda
MARISCAL 14,,Grupo Alfard Constructora Inmobiliaria SAC,URB. HUANCARO I-14,CUSCO,CUSCO,SANTIAGO ,1/07/2026,93.3,37.3,0.0,0.0,375544.0,222248.0,20,0,https://grupoalfard.com/es/projects/huancaro, 984040533,nuevo_credito_mivivienda
RESIDENCIAL GRECEL,,FREAK CONSTRUCTORES Y CONSULTORES SRL,N° D5 4-5 DE LA URB. LARAPA GRANDE ,CUSCO,Cusco,San Jerónimo,1/07/2026,90.0,42.0,0.0,0.0,386600.0,140700.0,28,0,WWW.ifcperu.com,974790598,nuevo_credito_mivivienda
EDICICIO MULTIFAMILIAR ASTURIAS 107,,PROCASA INVERSIONES INMOBILIARIA Y MULTISERVICIOS S.A.C.,URB. LOS SAUCES PJE LOS SAUCES B-12,CUSCO,CUSCO,WANCHAQ,1/07/2026,65.04,44.33,0.0,0.0,366800.0,205500.0,8,0,https://www.facebook.com/share/17URHoFGog/?mibextid=wwXIfr,933704877,nuevo_credito_mivivienda
EDIFICIO MULTIFAMILIAR GALICIA 107,,PROCASA INVERSIONES INMOBILIARIA Y MULTISERVICIOS S.A.C.,URB. LOS SAUCES PJE LOS SAUCES B-13,CUSCO,CUSCO,WANCHAQ,1/07/2026,78.09,40.0,0.0,0.0,380600.0,192300.0,14,0,https://www.facebook.com/share/17URHoFGog/?mibextid=wwXIfr,933704877,nuevo_credito_mivivienda
EDIFICIO MULTIFAMILIAR PALERMO 107,,GRUPO & DISTRIBUIDORA CASAHOGAR SAC,URBANIZACIÓN TTIO MZ U2 LOTE 01,CUSCO,CUSCO,WANCHAQ,1/07/2026,65.92,50.51,0.0,0.0,402100.0,311800.0,12,0,https://www.facebook.com/share/17URHoFGog/?mibextid=wwXIfr,933704877,nuevo_credito_mivivienda
EDIFICIO MULTIFAMILIAR VALENCIA 107,,PROCASA INVERSIONES INMOBILIARIA Y MULTISERVICIOS S.A.C.,URB. LA FLORIDA AV. LOS GLADIOLOS I-15,CUSCO,CUSCO,WANCHAQ,1/07/2026,73.05,56.0,0.0,0.0,409200.0,249100.0,10,0,https://www.facebook.com/share/17URHoFGog/?mibextid=wwXIfr,933704877,nuevo_credito_mivivienda
SOL DE LA PRADERA,,CONSTRUCTORA GALILEA S.A.C.,"AV. SIMÓN BOLÍVAR S/N CHINCHA BAJA, REFERENCIA A 150M DE LA PLAZA DE ARMAS",ICA,CHINCHA,CHIMCHA BAJA,1/07/2026,83.3,41.7,0.0,0.0,213990.0,149490.0,530,0,https://galilea.com.pe/sol-de-la-pradera/,994698410,nuevo_credito_mivivienda
Residencial Santa Rita,,INVERSIONES Y CONSTRUCCIONES V Y D SAC,URB. SECTOR CONDORILLO BAJO PREDIO S/N,ICA,CHINCHA,CHINCHA ALTA,1/07/2026,0.0,70.0,0.0,0.0,0.0,96100.0,40,0,,964471594 / 972 070 046,nuevo_credito_mivivienda
SAN BLAS,,A.I.F. CONTRATISTAS GENERALES S.A.C.,Urb. Julio Arboleda MZ. A LT.06,ICA,CHINCHA,CHINCHA ALTA,1/07/2026,0.0,64.19,0.0,0.0,130000.0,107000.0,26,0,WWW.AIFPERU.COM,936 414 482,nuevo_credito_mivivienda
SANTO DOMINGO,,AIF CONTRATISTAS GENERALES S.A.C,Urb. Julio Arboleda MZ. A LT.06,ICA,ICA,CHINCHA ALTA,1/07/2026,0.0,66.0,0.0,0.0,0.0,81000.0,23,0,www.AIFPERU.COM,977940830/969808649,nuevo_credito_mivivienda
CASITA SUR ETAPA XI,,CASITASUR S.A.C.,"Av. Jose Carlos Mariátegui S/N - Sector San Antonio - Grocio Prado, Chincha",ICA,CHINCHA,Grocio Prado,1/07/2026,70.8,35.4,0.0,0.0,335000.0,115000.0,132,0,https://www.casitasur.pe/,957222485,nuevo_credito_mivivienda
Las Villas de Bouganville Ica,,CONSTRUCTORA CONCEPCIÓN ,"Camino a la Huega S/N, Ex Fundo La Rinconada, Ica",ICA,ICA,ICA,1/07/2026,98.0,62.0,0.0,0.0,0.0,275500.0,233,0,https://villasdebouganville.com/pages/ica,,nuevo_credito_mivivienda
"PARQUES DE HUACACHINA - ETAPA 4, 5, 6, 7 Y 8",,Urbaniza Inmobiliaria,"Camino a la Huega, Sector San José",ICA,ICA,ICA,1/07/2026,54.0,50.5,0.0,0.0,303000.0,265000.0,69,2,WWW.URBANIZA.PE,960197610,nuevo_credito_mivivienda
VILLA DEL VALLE,,LOS PORTALES S.A.,URB. SOL DE ICA INGRESANDO POR LA AV. HUEGA,ICA,ICA,ICA,1/07/2026,45.0,45.0,0.0,0.0,192000.0,177000.0,39,2,HTTPS://WWW.LOSPORTALES.COM.PE/VILLA-DEL-VALLE/,914321285,nuevo_credito_mivivienda
Encanto de Huacachina,,Urbaniza Inmobiliaria,"Camino a la Huega, Sector San José",ICA,Ica,Ica,1/07/2026,50.52,50.52,0.0,0.0,335000.0,304000.0,9,2,https://urbaniza.pe/,960197610,nuevo_credito_mivivienda
Las Torres de Huacachina,,Urbaniza Inmobiliaria,"Camino a la Huega, Sector San José",ICA,Ica,Ica,1/07/2026,48.05,42.92,0.0,0.0,166000.0,127000.0,25,0,https://urbaniza.pe/,960197610,nuevo_credito_mivivienda
Las Torres de Urbaniza,,Urbaniza Inmobiliaria,"Camino a la Huega, Sector San José",ICA,Ica,Ica,1/07/2026,48.05,42.92,0.0,0.0,150000.0,128000.0,12,0,https://urbaniza.pe/,960197610,nuevo_credito_mivivienda
Los Parques del Sol,,CLASEM S.A.C.,"Av. Finlandia Cdra. 9 (Camino a Los Lunas), al frente del Condominio Villa Club - Tinguiña.",ICA,ICA,LA TINGUIÑA,1/07/2026,25.0,25.0,0.0,0.0,145000.0,104500.0,86,0,https://clasem.com/proyecto/los-parques-del-sol/,994266230,nuevo_credito_mivivienda
RESIDENCIAL AMAPROVI,,CONSTRUCTORA INMOBILIARIA DEL SUR PERU S.C.R.L,Calle Las Margaritas P-12,ICA,NASCA,NASCA,1/07/2026,84.28,57.83,0.0,0.0,185000.0,175000.0,10,0,https://www.facebook.com/share/16JEZ9kasj/?mibextid=wwXlfr,941963053,nuevo_credito_mivivienda
LOS ALAMOS DE PIEDRA BLANCA,,CONSTRUCTORA INMOBILIARIA NLM EIRL,PREDIO PARCELA 201 - MACACONA SUBTANJALLA,ICA,ICA,SUBTANJALLA,1/07/2026,105.8,43.74,0.0,0.0,251000.0,186000.0,44,0,,958911361,nuevo_credito_mivivienda
SOL DE LAS VIÑAS,,CONSTRUCTORA GALILEA SAC,"UBIC RUR Sector Arrabales, Predio Fundo San Antonio Lote A, UC 66143",ICA,ICA,SUBTANJALLA,1/07/2026,90.0,90.0,0.0,0.0,229390.0,163490.0,229,0,https://galilea.com.pe/sol-de-las-vinas/, 912 425 804,nuevo_credito_mivivienda
RES. SAN IGNACIO,,CAMARGOS CONTRATISTAS GENERALES SAC,"Urb. Sector Acequia Grande – Huayabo Predio S/N C.P. / PARC. 8_3758515_12436, U.C. 12436",ICA,CHINCHA,SUNAMPE,1/07/2026,80.0,45.0,0.0,0.0,230000.0,135000.0,6,0,www.camargogroup.com.pe/linktr.ee/BCFINMOBILIARIA,996726746,nuevo_credito_mivivienda
RESIDENCIAL LAS ACACIAS,,HOGARES Y DISEÑOS VYK SAC,CALLE INMACULADA S/N PREDIO EL PINO SECTOR TOMA DEL PINO SUNAMPE,ICA,CHINCHA,SUNAMPE,1/07/2026,130.0,90.0,0.0,0.0,350000.0,250000.0,7,0,https://www.tiktok.com/@hogaresbnbchincha?_t=ZS-90Mc3aBN7Rf&_r=1,915174338,nuevo_credito_mivivienda
SANTA ROSA ,,CAMARGOS CONTRATISTAS GENERALES SAC,"SUB LOTE B-4 SECTOR FORMO PARTE DEL TERRENO DENOMINADO LOS PINOS, PAGO DE PILPA TOMA DE GONZALES ",ICA,CHINCHA,SUNAMPE ,1/07/2026,112.0,66.7,0.0,0.0,320000.0,195000.0,14,0,https://www.facebook.com/profile.php?id=61582331331968,996726746,nuevo_credito_mivivienda
Real Club House,,Grupo Inmobiliario Cima Prince SAC,Av. Camino Real N°300,ICA,Pisco,San Andrés,1/07/2026,59.3,47.19,0.0,0.0,195450.0,124250.0,100,0,https://cimaprince.com/nuestros-servicios/real-club-house/,967 376 208,nuevo_credito_mivivienda
Condominio Prados del este,,INVERSIONES CH&M S.A.C., Panamericana Sur Km. 296-Subtanjalla-Ica,ICA,ICA,Subtanjalla,1/07/2026,48.0,48.0,0.0,0.0,255000.0,230000.0,18,1,https://altitud.com.pe/prados-del-este-lotes/,943594472,nuevo_credito_mivivienda
RESIDENCIAL SAN ISIDRO,,ADILA CORPORATION SAC,Jr. Jorge Chávez #248 - El Tambo - Huancayo,JUNIN,HUANCAYO,EL TAMBO,1/07/2026,82.0,72.0,0.0,0.0,0.0,255000.0,16,0,,989449044,nuevo_credito_mivivienda
ALTAVISTA,,CERCOT INMOBILIARIA S.A.C.,ESQUINA DE JR JHANTU Y JR NACION WANKA-Frente a polideportivo wanka,JUNIN,HUANCAYO,HUANCAYO,1/07/2026,116.3,63.5,0.0,0.0,399000.0,209000.0,7,0,https://www.facebook.com/CercotInmobiliaria,948628320,nuevo_credito_mivivienda
RESIDENCIAL DIXIE TOWER,,FARGO CONSTRUCTION INVESTMENT CONSULTING E.I.R.L.,"ALAMEDA LA MERCED SUR N°134, URB. LA MERCED",JUNIN,HUANCAYO,HUANCAYO,1/07/2026,68.0,62.0,0.0,0.0,260000.0,230000.0,13,0,https://www.facebook.com/inmobiliariafargo/,950503768,nuevo_credito_mivivienda
SOL DE LA COLINA,,CERCOT INMOBILIARIA S.A.C.,JR WAYRA 597- HUANCAYO,JUNIN,HUANCAYO,HUANCAYO,1/07/2026,96.0,88.0,0.0,0.0,280000.0,275000.0,2,0,https://www.facebook.com/CercotInmobiliaria,969204590 - 948628320,nuevo_credito_mivivienda
El bosque ,,SI SOLUCIONES INMOBILIARIAS ,SECTOR BAJO PAURIALI - URB. EL BOSQUE - MAZAMARI,JUNIN,SATIPO,MAZAMARI,1/07/2026,65.0,65.0,0.0,0.0,140000.0,130000.0,10,2,,964550663,nuevo_credito_mivivienda
URBANIZACION OASIS ,,CORPORACION MAFAVIC SAC,Urbanización Oasis  MZL. Calle Cacao ,JUNIN,SATIPO,MAZAMARI,1/07/2026,65.0,47.0,0.0,0.0,86000.0,72000.0,39,0,,922491466,nuevo_credito_mivivienda
RESIDENCIAL ALAMEDA OBISPO NEMESIO RIVERA - ETAPA 1,,INMOBILIARIA REAL PROJECT M&C S.R.L.,Jr. Dos de Mayo N° 875,JUNIN,HUANCAYO,SAÑO,1/07/2026,75.315,62.042,0.0,0.0,230000.0,170000.0,15,0,,"961300812 - 986371569
977 839 970 - 964 648 715",nuevo_credito_mivivienda
Vista del Campo Condominio,,Alturia SAC Inmobiliaria Constructora,Av. Alfonso Ugarte N° 995,JUNIN,HUANCAYO,SAÑO,1/07/2026,157.0,50.0,0.0,0.0,340000.0,150000.0,30,0,"
www.alturiainmobiliariaperu.com.pe",995686688,nuevo_credito_mivivienda
CONDOMINIO CLUB EL ROSEDAL - Etapa 2.1,,CLASEM S.A.C.,Av. Circunvalación N°674 (Ref. a 100 metros de la UTP) Saños Chico - El Tambo,JUNIN,HUANCAYO,TAMBO,1/07/2026,75.0,63.0,0.0,0.0,249900.0,174000.0,80,2,https://clasem.com/proyecto/club-el-rosedal/,934 895 050,nuevo_credito_mivivienda
CONDOMINIO SANTA ANA,,GV INMOVILIARIA E.I.R.L.,A UNA CUADRA DEL CEMENTERIO DEL DEMENTERIO NUEVO DE LA BENEFICIENCIA DE HUANCAYO,JUNÍN,HUANCAYO,EL TAMBO,1/07/2026,60.0,45.0,0.0,0.0,130000.0,109000.0,10,0,https://www.facebook.com/GVInmobiliariaHuancayo/,956858541 / 925451672,nuevo_credito_mivivienda
LOS LIMOS,,INVERSIONES GRUPO TORRES SAC,PASAJE SAN FRANCISCO N°290,JUNÍN,HUANCAYO,EL TAMBO,1/07/2026,54.58,40.5,0.0,0.0,165000.0,120000.0,8,0,https://www.tiktok.com/@inmobiliariagrupotorres?_t=ZM-8zwfYlCsT5o&_r=1,923302278,nuevo_credito_mivivienda
RESIDECNIAL ROSEMBERG,,ADILA CORPORATION SAC,JR. SANTA ISABEL 1325,JUNÍN,HUANCAYO,EL TAMBO,1/07/2026,134.0,48.0,0.0,0.0,499000.0,189000.0,50,0,https://www.adilainmobiliaria.com/residencial-rosemberg/,935895496,nuevo_credito_mivivienda
RESIDENCIAL GEMINIS,,ADILA CORPORATION SAC,JR. LIBERTAD 1302,JUNÍN,HUANCAYO,EL TAMBO,1/07/2026,84.0,40.0,0.0,0.0,359000.0,139000.0,25,0,https://www.adilainmobiliaria.com/,966968697,nuevo_credito_mivivienda
RESIDENCIAL VANGUARD,,ADILA CORPORATION SAC,AV. ORION Y AV. BORIAL URBANIZACION JARDINES DE LA JUSTICIA,JUNÍN,HUANCAYO,EL TAMBO,1/07/2026,80.0,76.0,0.0,0.0,320000.0,295000.0,16,0,https://www.adilainmobiliaria.com/residencial-vanguard/,964489591,nuevo_credito_mivivienda
CONDOMINIO VISTA HERMOSA,,GV INMOVILIARIA E.I.R.L.,´PASEO PATAN COTO S/N SAN AGUSTIN DE CAJAS ,JUNÍN,HUANCAYO,HUALHUAS,1/07/2026,142.59,40.0,0.0,0.0,280000.0,140000.0,10,0,https://www.facebook.com/GVInmobiliariaHuancayo/,931936096,nuevo_credito_mivivienda
RESIDENCIAL VALLE GRANDE,,GV INMOVILIARIA E.I.R.L.,CARRETERA CENTRAL MARGUEN IZQUIERDA S/N DISTRITO DE MITO,JUNÍN,HUANCAYO,HUALHUAS,1/07/2026,214.45,60.0,0.0,0.0,330000.0,275000.0,20,0,https://www.facebook.com/GVInmobiliariaHuancayo/,931936096,nuevo_credito_mivivienda
COLINAS,,CERCOT INMOBILIARIA S.A.C.,ESQUINA DE JR JHANTU Y JR URPI-URBANIZACION COLINAS DE SAN ANTONIO,JUNÍN,HUANCAYO,HUANCAYO,1/07/2026,80.6,42.0,0.0,0.0,274000.0,149000.0,7,0,https://www.facebook.com/CercotInmobiliaria,948628320,nuevo_credito_mivivienda
RESIDENCIAL GALA,,ADILA CORPORATION SAC,JR. MANUEL VEGA ORTIZ NRO 190 - HUANCAYO ,JUNÍN,HUANCAYO,HUANCAYO,1/07/2026,118.0,78.0,0.0,0.0,339000.0,276000.0,13,0,www.adilainmobiliaria.com,935895496,nuevo_credito_mivivienda
RESIDENCIAL JARDINES DE FLORESTA II,,FLORESTA JAH INMOBILIARIA Y CONSTRUCTORA SAC,CALLE MARTIN LUTHER KING N°275,JUNÍN,HUANCAYO,HUANCAYO,1/07/2026,38.57,38.57,0.0,0.0,125000.0,125000.0,6,0,https://www.facebook.com/inmobiliariaflorestajah/,975329393 / 998510566,nuevo_credito_mivivienda
