listing_id,url,distrito,encabezado,moneda,precio,mantenimiento,tipo_inmueble,titulo,descripcion,rooms,bedrooms,bathrooms,area_m2,address_region,address_locality
150970794,https://urbania.pe/inmueble/proyecto/veuntein-venta-de-terreno-en-quilmana-quilmana-150970794,QUILMANA QUILMANA,,,,,,,,,,,,,
150705119,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-limatambo-san-isidro-4-dormitorios-150705119,LIMATAMBO,"Venta Casa en Limatambo S/ 3,400,000",PEN,3400000.0,,House,Venta de Casa en San Isidro - Lima 4 Dormitorios y - 150705119 | Urbania Peru,"CASA AMPLIA Y REMODELADA QUE CUENTA CON 1ER PISIO. 3 COCHERAS PARALELAS, SALA, COMEDOR, RECIBIDOR, TERRAZA GRANDE, BAR, COCINA CON COMEDOR DE DIARIO Y DES...",4.0,4.0,4.0,382.0,Limatambo,"San Isidro, Lima, Lima, Peru urbania"
150106518,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-isidro-lima-3-dormitorios-150106518,SAN ISIDRO,"Venta Departamento en San Isidro S/ 1,508,000",PEN,1508000.0,850.0,Apartment,Venta de Departamento en San Isidro - Lima 3 Dormitorios y - 150106518 | Urbania Peru,"&quot;Departamento en Venta San Isidro a USD $450,000 Vendo Departamento en San Isidro – Calle Blas Cerdeña, en Piso 2, con vista exterior al parque Alayza Gru...",3.0,3.0,3.0,155.0,San Isidro,"Lima, Lima, Peru urbania, "
149502280,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-las-lagunas-la-molina-4-dormitorios-149502280,LAS LAGUNAS,"Venta Casa en Las Lagunas S/ 6,120,000",PEN,6120000.0,,House,Venta de Casa en La Molina - Lima 4 Dormitorios y - 149502280 | Urbania Peru,"Exclusiva Casa en Venta – Las Lagunas, La Molina Precio: USD 1,800,000 Ubicada en la prestigiosa y segura urbanización Las Lagunas de La Molina, en la tr...",4.0,4.0,4.0,1025.0,Las Lagunas,"La Molina, Lima, Lima, Peru urbania"
148797031,https://urbania.pe/inmueble/clasificado/vecltein-venta-de-terreno-en-la-victoria-chiclayo-148797031,LA VICTORIA CHICLAYO,"Venta Terreno / Lote en La Victoria S/ 11,384,305",PEN,11384305.0,,,,,,,,,,
150947452,https://urbania.pe/inmueble/clasificado/vecltein-venta-de-terreno-en-san-miguel-lima-150947452,SAN MIGUEL,"Venta Terreno / Lote en San Miguel S/ 4,621,500",PEN,4621500.0,,,,,,,,,,
147170078,https://urbania.pe/inmueble/clasificado/vecllcin-venta-de-local-comercial-en-jesus-maria-lima-2-dormitorios-147170078,JESUS MARIA,"Venta Local comercial en Jesús María S/ 184,250",PEN,184250.0,,,,,,,,,,
150931736,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-miraflores-lima-2-dormitorios-ascensor-150931736,MIRAFLORES,"Venta Departamento en Miraflores S/ 663,000",PEN,663000.0,400.0,Apartment,Venta de Departamento en Miraflores - Lima 2 Dormitorios y - 150931736 | Urbania Peru,¡VENTA DEPARTAMENTO MIRAFLORES 2DO PISO 2 DORMITORIOS Y ESTUDIO AT 83M2 + COCHERA Y DEPOSITO A PASOS DEL MALECÓN DE MIRAFLORES! Ubicación Premium: Roma 1...,2.0,2.0,2.0,83.0,Miraflores,"Lima, Lima, Peru urbania, "
150945796,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-maynas-loreto-3-dormitorios-150945796,MAYNAS,"Venta Casa en Maynas S/ 355,000",PEN,355000.0,,House,Venta de Casa en - Maynas 3 Dormitorios y - 150945796 | Urbania Peru,AMPLIA CASA CON DOBLE FRENTE Y EXCELENTE UBICACIÓN COMERCIAL Oportunidad única de inversión y vivienda en ...,3.0,3.0,4.0,460.0,Maynas,"Loreto, Peru urbania, "
148734452,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-el-palacio-sachaca-3-dormitorios-148734452,EL PALACIO,"Venta Departamento en El Palacio S/ 367,200",PEN,367200.0,120.0,Apartment,Venta de Departamento en Sachaca - Arequipa 3 Dormitorios y - 148734452 | Urbania Peru,"DEPARTAMENTO EN VENTA – SACHACA | PALACIO I Precio: USD 125,000 Área: 108.62 m² 84.4 de area techada mas . 16 de cochera Departamento ubicado dentro de un...",3.0,3.0,2.0,125.0,El Palacio,"Sachaca, Arequipa, Arequipa, Peru urbania"
90580263,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-campo-verde-la-molina-3-dormitorios-90580263,CAMPO VERDE,"Venta Casa en Campo Verde S/ 1,411,000",PEN,1411000.0,550.0,House,Venta de Casa en La Molina - Lima 3 Dormitorios y - 90580263 | Urbania Peru,"CITAS AL 9.8.2.7.1.3.8.4.9. SI BUSCAS UN REFUGIO DE PAZ, SEGURIDAD Y RELAJAMIENTO TOTAL, ESTA CASA ES PARA TI. UBICADA EN UN CONDOMINIO CERRADO CON MÁXIM...",3.0,3.0,3.0,220.0,Campo Verde,"La Molina, Lima, Lima, Peru urbania"
150912073,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-pucusana-pucusana-3-dormitorios-ascensor-150912073,PUCUSANA,"Venta Departamento en Pucusana S/ 310,488",PEN,310488.0,,Apartment,Venta de Departamento en Pucusana - Lima 3 Dormitorios y - 150912073 | Urbania Peru,"Tu departamento de playa te espera en Naplo. Descubre El Golfo, un exclusivo proyecto de departamentos de estreno diseñado para disfrutar del m...",3.0,3.0,2.0,73.0,Pucusana,"Pucusana, Lima, Lima, Peru urbania"
